"Campus
Number",Campus,District,"ESC
Region",Region,"SBOE
District",# of Consecutive Years Campus is Academically Unacceptable,Campus 2020 Rating,Campus 2019 Rating,Campus 2018 Rating,Campus 2017 Rating,Campus 2016 Rating,Campus 2015 Rating,Campus 2014 Rating,Campus 2013 Rating,Campus 2012 Rating,Campus 2011 Rating
024901001,FALFURRIAS H S,BROOKS COUNTY ISD,01,REGION 01: EDINBURG,3,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Academically Unacceptable
024901041,FALFURRIAS J H,BROOKS COUNTY ISD,01,REGION 01: EDINBURG,3,1,Not Rated: Declared State of Disaster,F,Met Standard,Met Standard,Met Standard,Improvement Required,Met Standard,Met Standard,n/a,Academically Unacceptable
024901101,FALFURRIAS EL,BROOKS COUNTY ISD,01,REGION 01: EDINBURG,3,0,Not Rated: Declared State of Disaster,C,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Academically Acceptable
024901103,LASATER EL,BROOKS COUNTY ISD,01,REGION 01: EDINBURG,3,0,Not Rated: Declared State of Disaster,C,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Academically Acceptable
024901105,FALFURRIAS INNOVATION ACADEMY,BROOKS COUNTY ISD,01,REGION 01: EDINBURG,3,0,Not Rated: Declared State of Disaster,,,,,,,,n/a,
031901001,HANNA EARLY COLLEGE H S,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
031901002,PORTER EARLY COLLEGE H S,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Improvement Required,n/a,Academically Acceptable
031901003,PACE EARLY COLLEGE H S,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Academically Acceptable
031901004,RIVERA EARLY COLLEGE H S,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Academically Acceptable
031901007,LOPEZ EARLY COLLEGE H S,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Academically Acceptable
031901008,BROWNSVILLE EARLY COLLEGE H S,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,A,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
031901009,VETERANS MEMORIAL EARLY COLLEGE H,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,A,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Academically Acceptable
031901034,CAMERON CO J J A E P,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,n/a,Not Rated
031901043,FAULK MIDDLE,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Academically Unacceptable
031901044,STELL MIDDLE,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
031901045,OLIVEIRA MIDDLE,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
031901046,PERKINS MIDDLE,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
031901047,VELA MIDDLE,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
031901048,BESTEIRO MIDDLE,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,C,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
031901051,LUCIO MIDDLE,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,C,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
031901053,GARCIA MIDDLE,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
031901054,STILLMAN MIDDLE,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
031901055,MANZANO MIDDLE,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Academically Acceptable
031901101,CANALES EL,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,C,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Academically Unacceptable
031901102,CROMACK EL,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
031901104,MARTIN EL,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,A,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
031901105,EL JARDIN EL,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,C,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
031901106,GARDEN PARK EL,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,A,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
031901108,PUTEGNAT EL,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,A,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
031901110,RUSSELL EL,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
031901111,SHARP EL,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,A,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
031901112,SKINNER EL,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
031901115,CASTANEDA EL,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,A,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
031901117,VILLA NUEVA EL,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,C,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
031901120,DEL CASTILLO EL,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
031901121,PEREZ EL,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Exemplary
031901122,PALM GROVE EL,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Academically Acceptable
031901123,EGLY EL,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,A,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
031901124,GARZA EL,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Academically Acceptable
031901126,VERMILLION ROAD EL,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
031901128,BURNS EL,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,A,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
031901129,MORNINGSIDE EL,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Exemplary
031901130,GONZALEZ EL,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,A,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
031901131,SOUTHMOST EL,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,A,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
031901132,YTURRIA EL,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,A,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
031901133,AIKEN EL,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
031901134,HUDSON EL,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
031901135,BENAVIDES EL,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,A,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
031901136,CHAMPION EL,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,A,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
031901137,PAREDES EL,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,A,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Exemplary
031901138,GALLEGOS EL,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,A,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Exemplary
031901139,ORTIZ EL,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,A,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Exemplary
031901140,BRITE EL,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
031901141,PENA EL,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Exemplary
031901142,PULLAM EL,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,A,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Exemplary
031901143,KELLER EL,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,A,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
031901144,BREEDEN EL,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,A,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,
108902001,DONNA H S,DONNA ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Academically Acceptable
108902003,HIDALGO CO J J A E P,DONNA ISD,01,REGION 01: EDINBURG,2,0,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,n/a,Not Rated
108902006,3D ACADEMY,DONNA ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,D,Met Standard,Met Alternative Education Standard,Met Alternative Education Standard,Not Rated: Minimum Size rules,Not Rated: Minimum Size rules,Not Rated: Minimum Size rules,n/a,AEA: Academically Acceptable
108902007,DONNA NORTH H S,DONNA ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,,n/a,
108902045,A P SOLIS MIDDLE,DONNA ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Academically Acceptable
108902046,VETERANS MIDDLE,DONNA ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,D,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Academically Acceptable
108902047,DORA M SAUCEDA MIDDLE,DONNA ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,C,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Academically Acceptable
108902048,W A TODD MIDDLE,DONNA ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,C,Met Standard,Met Standard,Met Standard,Met Standard,Improvement Required,,n/a,
108902102,GUZMAN EL,DONNA ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,C,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Academically Acceptable
108902103,T PRICE EL,DONNA ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,D,Met Standard,Met Standard,Met Standard,Improvement Required,Improvement Required,Met Standard,n/a,Academically Acceptable
108902104,A M OCHOA EL,DONNA ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,D,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
108902105,RUNN EL,DONNA ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,C,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
108902106,C STAINKE EL,DONNA ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Academically Acceptable
108902109,J W CACERES EL,DONNA ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,C,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
108902111,M RIVAS EL,DONNA ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,C,Met Standard,Met Standard,Met Standard,Improvement Required,Improvement Required,Improvement Required,n/a,Academically Acceptable
108902112,CAPT D SALINAS II EL,DONNA ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,C,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Academically Acceptable
108902113,PATRICIA S GARZA EL,DONNA ISD,01,REGION 01: EDINBURG,2,1,Not Rated: Declared State of Disaster,F,Met Standard,Met Standard,Met Standard,Improvement Required,Met Standard,Met Standard,n/a,Academically Unacceptable
108902114,MARIA ALICIA P MUNOZ EL,DONNA ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Improvement Required,Met Standard,Met Standard,n/a,Academically Acceptable
108902115,LE NOIR EL,DONNA ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
108902116,DANIEL SINGLETERRY SR,DONNA ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,C,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
108902117,ELOY GARZA SALAZAR EL,DONNA ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,C,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Academically Acceptable
108902118,JULIAN S ADAME,DONNA ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
108903001,EDCOUCH-ELSA H S,EDCOUCH-ELSA ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Academically Acceptable
108903004,EDCOUCH-ELSA H S ACADEMY,EDCOUCH-ELSA ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Alternative Education Standard,Met Alternative Education Standard,Met Alternative Education Standard,Met Alternative Education Standard,,n/a,
108903041,CARLOS TRUAN J H,EDCOUCH-ELSA ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,C,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Academically Acceptable
108903102,SANTIAGO GARCIA EL,EDCOUCH-ELSA ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
108903103,KENNEDY EL,EDCOUCH-ELSA ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,C,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
108903104,RUBEN C RODRIGUEZ EL,EDCOUCH-ELSA ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,C,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Improvement Required,n/a,Recognized
108903105,L B J EL,EDCOUCH-ELSA ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
108903106,JORGE R GUTIERREZ EARLY CHILDHOOD,EDCOUCH-ELSA ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Not Rated
108904001,EDINBURG H S,EDINBURG CISD,01,REGION 01: EDINBURG,3,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Academically Acceptable
108904002,ECONOMEDES H S,EDINBURG CISD,01,REGION 01: EDINBURG,3,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Academically Acceptable
108904003,EDINBURG NORTH H S,EDINBURG CISD,01,REGION 01: EDINBURG,3,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
108904006,ROBERT R VELA H S,EDINBURG CISD,01,REGION 01: EDINBURG,3,0,Not Rated: Declared State of Disaster,A,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,
108904039,J J A E P,EDINBURG CISD,01,REGION 01: EDINBURG,2,0,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,n/a,
108904040,JUVENILE DETENTION CTR,EDINBURG CISD,01,REGION 01: EDINBURG,3,0,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,n/a,Not Rated
108904043,B L GARZA MIDDLE,EDINBURG CISD,01,REGION 01: EDINBURG,3,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Academically Acceptable
108904044,SOUTH MIDDLE,EDINBURG CISD,01,REGION 01: EDINBURG,3,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Academically Acceptable
108904045,MEMORIAL MIDDLE,EDINBURG CISD,01,REGION 01: EDINBURG,3,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
108904046,FRANCISCO BARRIENTES MIDDLE,EDINBURG CISD,01,REGION 01: EDINBURG,3,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Academically Acceptable
108904047,BETTY HARWELL MIDDLE,EDINBURG CISD,01,REGION 01: EDINBURG,3,0,Not Rated: Declared State of Disaster,D,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,
108904048,ELIAS LONGORIA SR MIDDLE,EDINBURG CISD,01,REGION 01: EDINBURG,3,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,
108904101,AUSTIN ELEM,EDINBURG CISD,01,REGION 01: EDINBURG,3,0,Not Rated: Declared State of Disaster,A,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Exemplary
108904102,BREWSTER EL,EDINBURG CISD,01,REGION 01: EDINBURG,3,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Academically Acceptable
108904103,HARGILL EL,EDINBURG CISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
108904104,BETTS EL,EDINBURG CISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
108904105,JEFFERSON ELEM,EDINBURG CISD,01,REGION 01: EDINBURG,3,0,Not Rated: Declared State of Disaster,A,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Exemplary
108904106,TREVINO EL,EDINBURG CISD,01,REGION 01: EDINBURG,3,0,Not Rated: Declared State of Disaster,A,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Exemplary
108904107,LEE EL,EDINBURG CISD,01,REGION 01: EDINBURG,3,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
108904108,LINCOLN EL,EDINBURG CISD,01,REGION 01: EDINBURG,3,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Exemplary
108904109,GUERRA EL,EDINBURG CISD,01,REGION 01: EDINBURG,3,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Exemplary
108904110,ZAVALA EL,EDINBURG CISD,01,REGION 01: EDINBURG,3,0,Not Rated: Declared State of Disaster,A,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
108904111,TRAVIS EL,EDINBURG CISD,01,REGION 01: EDINBURG,3,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
108904112,FREDDY GONZALEZ EL,EDINBURG CISD,01,REGION 01: EDINBURG,3,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Exemplary
108904113,L B JOHNSON EL,EDINBURG CISD,01,REGION 01: EDINBURG,3,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
108904114,CANTERBURY EL,EDINBURG CISD,01,REGION 01: EDINBURG,3,0,Not Rated: Declared State of Disaster,A,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Exemplary
108904115,MONTE CRISTO EL,EDINBURG CISD,01,REGION 01: EDINBURG,3,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
108904116,ESCANDON EL,EDINBURG CISD,01,REGION 01: EDINBURG,3,0,Not Rated: Declared State of Disaster,A,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Exemplary
108904117,DE LA VINA ELEM,EDINBURG CISD,01,REGION 01: EDINBURG,3,0,Not Rated: Declared State of Disaster,A,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
108904118,SAN CARLOS EL,EDINBURG CISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Exemplary
108904119,TRUMAN EL,EDINBURG CISD,01,REGION 01: EDINBURG,3,0,Not Rated: Declared State of Disaster,A,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
108904120,EISENHOWER EL,EDINBURG CISD,01,REGION 01: EDINBURG,3,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
108904121,JOHN F KENNEDY EL,EDINBURG CISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
108904122,CANO-GONZALEZ EL,EDINBURG CISD,01,REGION 01: EDINBURG,3,0,Not Rated: Declared State of Disaster,A,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
108904123,CAVAZOS EL,EDINBURG CISD,01,REGION 01: EDINBURG,3,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Exemplary
108904124,VILLARREAL EL,EDINBURG CISD,01,REGION 01: EDINBURG,3,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
108904125,CARMEN V AVILA EL,EDINBURG CISD,01,REGION 01: EDINBURG,3,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Exemplary
108904126,ANNE L MAGEE EL,EDINBURG CISD,01,REGION 01: EDINBURG,3,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
