mls,latitude,longitude,campus_number,school,rating
53229853,29.73302817,-95.4807119,101912116,BRIARGROVE EL,B
53229853,29.73302817,-95.4807119,101912116,BRIARGROVE EL,B
54060539,29.814125,-95.3883449,101912116,BRIARGROVE EL,B
54086224,29.76445327,-95.4694385,101912116,BRIARGROVE EL,B
54430802,29.75300855,-95.48302862,101912116,BRIARGROVE EL,B
54537275,29.7368458,-95.46929539,101912116,BRIARGROVE EL,B
54668520,29.74870204,-95.48879827,101912116,BRIARGROVE EL,B
55072083,29.74162824,-95.4945686,101912116,BRIARGROVE EL,B
55808807,29.7366818,-95.46929339,101912116,BRIARGROVE EL,B
56787775,29.764167,-95.463293,101912116,BRIARGROVE EL,B
57370805,29.75489005,-95.48735685,101912116,BRIARGROVE EL,B
57671378,29.75441684,-95.46573841,101912116,BRIARGROVE EL,B
58479431,29.734188,-95.482156,101912116,BRIARGROVE EL,B
58974837,29.75559324,-95.46485717,101912116,BRIARGROVE EL,B
59418545,29.7365194,-95.48219241,101912116,BRIARGROVE EL,B
59495541,29.74862389,-95.48745634,101912116,BRIARGROVE EL,B
59696206,29.74459361,-95.46902066,101912116,BRIARGROVE EL,B
60051258,29.73608472,-95.46852394,101912116,BRIARGROVE EL,B
60437112,29.76453229,-95.47744318,101912116,BRIARGROVE EL,B
60492410,29.75702608,-95.46566261,101912116,BRIARGROVE EL,B
60958404,29.74607729,-95.48759661,101912116,BRIARGROVE EL,B
61144353,29.76340688,-95.48457286,101912116,BRIARGROVE EL,B
62495647,29.74607671,-95.48764082,101912116,BRIARGROVE EL,B
62969474,29.72916536,-95.47159016,101912116,BRIARGROVE EL,B
63139875,29.74886278,-95.48975078,101912116,BRIARGROVE EL,B
64016255,29.73991721,-95.47564044,101912116,BRIARGROVE EL,B
64197796,29.74485024,-95.48247449,101912116,BRIARGROVE EL,B
64667540,29.73400767,-95.47431856,101912116,BRIARGROVE EL,B
64997392,29.73843073,-95.50520435,101912116,BRIARGROVE EL,B
66270166,29.74177244,-95.48735751,101912116,BRIARGROVE EL,B
66900666,29.75361749,-95.48760941,101912116,BRIARGROVE EL,B
67295326,29.73513589,-95.47369583,101912116,BRIARGROVE EL,B
67617557,29.76391224,-95.4749738,101912116,BRIARGROVE EL,B
67911457,29.74449368,-95.48856705,101912116,BRIARGROVE EL,B
67911457,29.74449368,-95.48856705,101912116,BRIARGROVE EL,B
67911457,29.74449368,-95.48856705,101912116,BRIARGROVE EL,B
67911457,29.74449368,-95.48856705,101912116,BRIARGROVE EL,B
68130226,29.73554242,-95.47880698,101912116,BRIARGROVE EL,B
70501803,29.73436357,-95.46981463,101912116,BRIARGROVE EL,B
70536368,29.73554424,-95.47858746,101912116,BRIARGROVE EL,B
70587411,29.74785161,-95.476194,101912116,BRIARGROVE EL,B
71263953,29.74138818,-95.47577498,101912116,BRIARGROVE EL,B
71746364,29.75365714,-95.47312012,101912116,BRIARGROVE EL,B
72820044,29.747608,-95.47960466,101912116,BRIARGROVE EL,B
