mls,street_number,street_name,unit,city,zip,county,subdivision,home_type,year_built,bedrooms,full_baths,half_baths,total_baths,room_count,fireplaces,stories,pool_private,garages,style,list_price,market_area,area,dom,cdom,list_date,school_district,elementary,high_school,full_address,latitude,longitude,geocode
82293073,1617,Missouri Street,,Houston,77006,Harris,Cherryhurst Add,Single-Family,1936,3,2,0,2,10,1,1,FALSE,2,"Contemporary/Modern, Traditional",899000,16,Montrose,5,5,2/1/2021,HOUSTON ISD,WILSON MONTESSORI,LAMAR H S,"1617 Missouri Street, Houston, Texas, 77006",29.74446557,-95.39694184,"(29.74446557142857, -95.3969418367347)"
82293380,7403,Woodson Valley Court,,Houston,77016,Harris,Leland Woods Sec 01,Single-Family,2015,3,2,1,2.1,7,0,2,FALSE,0,Traditional,245000,2,Northeast Houston,6,6,1/31/2021,HOUSTON ISD,SHADYDALE EL,NORTH FOREST H S,"7403 Woodson Valley Court, Houston, Texas, 77016",29.8701711,-95.29320481,"(29.870171102543186, -95.293204812412)"
82338290,858,Dunleigh Meadows Lane,,Houston,77055,Harris,Somerset Green,Single-Family,2016,3,3,1,3.1,7,0,4,FALSE,2,"Split Level, Traditional",749990,9,Timbergrove/Lazybrook,258,258,5/24/2020,HOUSTON ISD,SINCLAIR EL,WALTRIP H S,"858 Dunleigh Meadows Lane, Houston, Texas, 77055",29.7870228,-95.4442406,"(29.7870228, -95.4442406)"
82424613,5517,Pagewood Lane,,Houston,77056,Harris,Larchmont,Single-Family,2005,4,3,0,3,5,1,2,FALSE,2,"Contemporary/Modern, Traditional",749000,22,Galleria,18,559,1/19/2021,HOUSTON ISD,BRIARGROVE EL,WISDOM H S,"5517 Pagewood Lane, Houston, Texas, 77056",29.7271359,-95.47394624,"(29.727135904195762, -95.47394624138698)"
82443268,10703,Kirkside Drive,,Houston,77096,Harris,Westbury Sec 05 R/P,Single-Family,1963,3,2,0,2,6,0,1,FALSE,2,Contemporary/Modern,279990,20,Brays Oaks,258,258,5/24/2020,HOUSTON ISD,ELROD EL,WESTBURY H S,"10703 Kirkside Drive, Houston, Texas, 77096",29.66439863,-95.49491492,"(29.664398629496933, -95.49491491540228)"
82454020,5532,Jessamine Street,,Houston,77081,Harris,Richmond Plaza,Single-Family,2008,4,2,1,2.1,4,0,2,FALSE,2,"Contemporary/Modern, Mediterranean",729000,17,Bellaire Area,29,29,1/8/2021,HOUSTON ISD,CONDIT EL,BELLAIRE H S,"5532 Jessamine Street, Houston, Texas, 77081",29.70155383,-95.4776441,"(29.701553827171416, -95.47764410491779)"
82454235,5335,Yarwell,,Houston,77096,Harris,Meyerland,Single-Family,1963,4,2,0,2,13,0,1,FALSE,2,"Contemporary/Modern, Ranch, Traditional",485000,20,Meyerland Area,67,67,12/1/2020,HOUSTON ISD,KOLTER EL,BELLAIRE H S,"5335 Yarwell, Houston, Texas, 77096",29.6706938,-95.47407983,"(29.6706937974413, -95.47407982942393)"
82479665,2524,Brinkman  Street,B,Houston,77008,Harris,Brinkman Patio Homes,Single-Family,2019,3,2,1,2.1,9,0,2,FALSE,0,Traditional,544900,9,Heights/Greater Heights,1,1,2/5/2021,HOUSTON ISD,SINCLAIR EL,WALTRIP H S,"2524 Brinkman  Street, Houston, Texas, 77008",29.809461,-95.414692,"(29.809461, -95.414692)"
82527595,1152,17th Street,,Houston,77008,Harris,Shady Acres Manor Rep 1,Single-Family,2014,3,3,1,3.1,7,0,3,FALSE,2,"Contemporary/Modern, Traditional",389999,9,Heights/Greater Heights,22,22,1/15/2021,HOUSTON ISD,SINCLAIR EL,WALTRIP H S,"1152 17th Street, Houston, Texas, 77008",29.654198,-95.208645,"(29.654198, -95.208645)"
82534927,3021,Avalon Place,,Houston,77019,Harris,Avalon Place,Single-Family,1989,4,4,1,4.1,10,1,3,FALSE,2,Contemporary/Modern,2195000,16,River Oaks Area,38,394,12/30/2020,HOUSTON ISD,RIVER OAKS EL,LAMAR H S,"3021 Avalon Place, Houston, Texas, 77019",29.74632375,-95.42048165,"(29.746323751825212, -95.42048164748154)"
82558911,5390,Huckleberry Lane,,Houston,77056,Harris,Tanglewood,Single-Family,2009,5,6,1,6.1,23,2,2,TRUE,3,Traditional,2865000,22,Tanglewood Area,22,22,1/15/2021,HOUSTON ISD,BRIARGROVE EL,WISDOM H S,"5390 Huckleberry Lane, Houston, Texas, 77056",29.75130898,-95.46858349,"(29.75130898276392, -95.46858348768855)"
82589436,4846,Woodpecker,,Houston,77035,Harris,Willowbrook Sec 02,Single-Family,1955,4,3,0,3,6,0,1,FALSE,1,Traditional,269000,20,Willow Meadows Area,60,60,12/8/2020,HOUSTON ISD,RED EL,WESTBURY H S,"4846 Woodpecker, Houston, Texas, 77035",29.65860737,-95.46258316,"(29.65860737349758, -95.46258316464127)"
82622931,232,Knox  ,C,Houston,77007,Harris,Millennium Homes At Birdsall M,Single-Family,2003,3,3,1,3.1,6,1,3,FALSE,0,Traditional,419000,16,Rice Military/Washington Corridor,2,2,2/4/2021,HOUSTON ISD,MEMORIAL EL,LAMAR H S,"232 Knox  , Houston, Texas, 77007",29.764048,-95.420872,"(29.764048, -95.420872)"
82691736,1004,Cleveland Street,,Houston,77019,Harris,Skyline/Midtown,Single-Family,2015,3,3,1,3.1,6,1,4,FALSE,2,Contemporary/Modern,500000,16,Midtown - Houston,32,155,1/5/2021,HOUSTON ISD,GREGORY-LINCOLN ED CTR,HEIGHTS H S,"1004 Cleveland Street, Houston, Texas, 77019",29.75462788,-95.37795149,"(29.75462787755102, -95.37795148979592)"
82797497,3115,Robinhood Street,,West University Place,77005,Harris,Monticello,Single-Family,2021,5,5,2,5.2,11,1,2,FALSE,2,Traditional,2195000,17,West University/Southside Area,50,50,12/18/2020,HOUSTON ISD,WEST UNIVERSITY EL,LAMAR H S,"3115 Robinhood Street, West University Place, Texas, 77005",29.72082282,-95.42641258,"(29.720822818181816, -95.42641257575758)"
82850725,1118,Luzon Street,,Houston,77009,Harris,Mcgowen,Single-Family,2018,2,2,0,2,5,0,1,FALSE,0,Traditional,435000,9,Northside,26,26,1/11/2021,HOUSTON ISD,KETELSEN EL,NORTHSIDE H S,"1118 Luzon Street, Houston, Texas, 77009",29.78659725,-95.3597955,"(29.78659725, -95.3597955)"
82885735,8301,Spaulding Street,,Houston,77016,Harris,Laura Koppe Place,Single-Family,1948,3,2,0,2,3,0,1,FALSE,0,Ranch,183000,2,Northside,115,115,10/14/2020,HOUSTON ISD,COOK JR EL,KASHMERE H S,"8301 Spaulding Street, Houston, Texas, 77016",29.83582371,-95.30733334,"(29.835823710581224, -95.30733334376824)"
82985388,2312,Branard ,,Houston,77098,Harris,Dozier,Single-Family,1947,2,3,0,3,14,0,1,FALSE,1,Traditional,695000,16,Upper Kirby,16,16,1/21/2021,HOUSTON ISD,POE EL,LAMAR H S,"2312 Branard , Houston, Texas, 77098",29.73692477,-95.41484013,"(29.736924773391344, -95.41484013366482)"
83010460,2812,Amherst Street,,Houston,77005,Harris,Rice Court,Single-Family,1934,4,2,1,2.1,9,0,2,FALSE,0,Contemporary/Modern,1149000,17,West University/Southside Area,26,26,1/11/2021,HOUSTON ISD,WEST UNIVERSITY EL,LAMAR H S,"2812 Amherst Street, Houston, Texas, 77005",29.715876,-95.4155221,"(29.715876, -95.4155221)"
83047153,1150,22nd  Street,H,Houston,77008,Harris,Carina Court Sec 02,Single-Family,2010,3,3,1,3.1,7,1,3,FALSE,2,Traditional,365900,9,Heights/Greater Heights,121,121,8/18/2020,HOUSTON ISD,SINCLAIR EL,WALTRIP H S,"1150 22nd  Street, Houston, Texas, 77008",29.62313,-95.218494,"(29.62313, -95.218494)"
