mls,street_number,street_name,unit,city,zip,county,subdivision,home_type,year_built,bedrooms,full_baths,half_baths,total_baths,room_count,fireplaces,stories,pool_private,garages,style,list_price,market_area,area,dom,cdom,list_date,school_district,elementary,high_school,full_address,latitude,longitude,geocode
242718,5407,Chevy Chase Drive,,Houston,77056,Harris,Del Monte Place,Single-Family,1970,3,3,2,3.2,9,1,2,FALSE,2,Traditional,875000,22,Galleria,85,85,11/13/2020,HOUSTON ISD,BRIARGROVE EL,WISDOM H S,"5407 Chevy Chase Drive, Houston, Texas, 77056",29.74515327,-95.46933089,"(29.745153271930764, -95.46933089200235)"
468622,1030,Creekmont Drive,,Houston,77091,Harris,Shepherd Park Terrace Sec 01,Single-Family,1971,3,2,0,2,3,0,1,TRUE,2,Traditional,355999,9,Shepherd Park Plaza Area,50,50,12/11/2020,HOUSTON ISD,HIGHLAND HTS EL,WASHINGTON B T H S,"1030 Creekmont Drive, Houston, Texas, 77091",29.84255407,-95.42270099,"(29.842554067913653, -95.42270099251903)"
531033,12322,Honeywood Trail,,Houston,77077,Harris,Ashford Forest Lake,Single-Family,1971,4,4,1,4.1,12,1,2,TRUE,0,Traditional,850000,31,Energy Corridor,105,105,10/24/2020,HOUSTON ISD,SHADOWBRIAR EL,WESTSIDE H S,"12322 Honeywood Trail, Houston, Texas, 77077",29.75893623,-95.59991515,"(29.758936228182634, -95.59991514697579)"
535780,5708,Dolores  Street,E,Houston,77057,Harris,Delores Place Estates,Single-Family,2007,3,3,1,3.1,8,1,3,FALSE,2,"Spanish, Traditional",535000,22,Galleria,32,406,1/5/2021,HOUSTON ISD,BRIARGROVE EL,WISDOM H S,"5708 Dolores  Street, Houston, Texas, 77057",29.73437636,-95.47879482,"(29.73437636363636, -95.47879481818181)"
754009,4630,Kermit,,Houston,77009,Harris,Sojourner,Single-Family,2021,6,4,2,4.2,10,0,2,FALSE,0,Traditional,945000,9,Heights/Greater Heights,18,18,1/19/2021,HOUSTON ISD,BROWNING EL,HEIGHTS H S,"4630 Kermit, Houston, Texas, 77009",29.79768454,-95.38389983,"(29.797684538188538, -95.38389982622054)"
845387,6803,Donlen Street,,Houston,77022,Harris,JS Collins Surv Abs-196,Single-Family,1958,3,2,0,2,6,0,1,FALSE,0,Traditional,325000,9,Northwest Houston,22,22,1/15/2021,HOUSTON ISD,HERRERA EL,HOUSTON MATH SCIENCE AND TECHNOLOG,"6803 Donlen Street, Houston, Texas, 77022",29.819634,-95.370996,"(29.819634, -95.370996)"
849724,6230,Rutherglenn Drive,,Houston,77096,Harris,Maplewood South Sec 07 R/P,Single-Family,1967,4,2,0,2,7,1,1,FALSE,2,Traditional,359900,20,Brays Oaks,33,33,1/4/2021,HOUSTON ISD,ELROD EL,WESTBURY H S,"6230 Rutherglenn Drive, Houston, Texas, 77096",29.67268788,-95.50067817,"(29.672687880989297, -95.50067816846041)"
875166,2609,Cleburne Street,,Houston,77004,Harris,Washington Terrace,Single-Family,1928,3,2,0,2,3,0,2,FALSE,0,Traditional,199999,4,University Area,233,233,6/18/2020,HOUSTON ISD,LOCKHART EL,YATES H S,"2609 Cleburne Street, Houston, Texas, 77004",29.72774708,-95.36752808,"(29.72774708080808, -95.36752808080809)"
899952,5643,Park Village Drive,,Houston,77048,Harris,Kingdom Come,Single-Family,0,3,2,0,2,3,0,2,FALSE,2,Traditional,220900,3,Medical Center South,101,101,10/28/2020,HOUSTON ISD,FROST EL,STERLING H S,"5643 Park Village Drive, Houston, Texas, 77048",29.629365,-95.33424271,"(29.629365, -95.33424271428571)"
919728,1023,Gross Street,,Houston,77019,Harris,River Oaks Shopping,Single-Family,2021,4,3,1,3.1,9,0,3,FALSE,2,"Contemporary/Modern, Traditional",675000,16,River Oaks Shopping Area,17,108,1/20/2021,HOUSTON ISD,WILSON MONTESSORI,LAMAR H S,"1023 Gross Street, Houston, Texas, 77019",29.75696518,-95.40633853,"(29.75696518367347, -95.40633853061225)"
956258,520,Saulnier,,Houston,77019,Harris,Alden Place,Single-Family,2020,4,3,1,3.1,9,1,3,FALSE,2,"Contemporary/Modern, Other Style",819000,16,Montrose,59,237,12/9/2020,HOUSTON ISD,WHARTON K-8 DUAL LANGUAGE ACADEMY,LAMAR H S,"520 Saulnier, Houston, Texas, 77019",29.75696691,-95.38747808,"(29.756966914572864, -95.38747807537688)"
964027,4105,Montrose Boulevard,,Houston,77006,Harris,Montrose,Single-Family,1994,3,2,1,2.1,7,2,3,FALSE,2,Traditional,719000,16,Montrose,4,4,2/2/2021,HOUSTON ISD,MACGREGOR EL,LAMAR H S,"4105 Montrose Boulevard, Houston, Texas, 77006",29.73602014,-95.39104663,"(29.736020142857143, -95.39104663265306)"
1016386,4369,Fiesta Lane,,Houston,77004,Harris,UNIVERSITY OAKS,Single-Family,1948,4,3,1,3.1,11,0,2,FALSE,2,Contemporary/Modern,489000,4,University Area,32,32,1/5/2021,HOUSTON ISD,LOCKHART EL,YATES H S,"4369 Fiesta Lane, Houston, Texas, 77004",29.71459376,-95.34425451,"(29.71459375510204, -95.34425451020408)"
1029097,4701,Braeburn  Drive,B,Bellaire,77401,Harris,Ladin Place,Single-Family,2007,5,4,2,4.2,10,2,2,FALSE,0,Mediterranean,1595000,17,Bellaire Area,3,63,2/3/2021,HOUSTON ISD,CONDIT EL,BELLAIRE H S,"4701 Braeburn  Drive, Bellaire, Texas, 77401",29.696173,-95.45966,"(29.696173, -95.45966)"
1036880,4731,Main Street,,Houston,77009,Harris,Sojourner,Single-Family,1930,2,1,0,1,4,0,1,FALSE,0,Other Style,375000,9,Heights/Greater Heights,386,386,1/17/2020,HOUSTON ISD,BROWNING EL,HEIGHTS H S,"4731 Main Street, Houston, Texas, 77009",29.763801,-95.3594933,"(29.763801, -95.3594933)"
1039842,2725,Kennedy St,,Houston,77003,Harris,East End/Bayou Sec 1,Single-Family,2015,3,3,1,3.1,6,0,4,FALSE,2,Traditional,507780,4,East End Revitalized,16,16,1/21/2021,HOUSTON ISD,BURNET EL,WHEATLEY H S,"2725 Kennedy St, Houston, Texas, 77003",29.75950657,-95.34046322,"(29.75950657142857, -95.3404632244898)"
1041641,8009,Ritz Street,,Houston,77028,Harris,Liberty Road Manor Sec 22 U/R,Single-Family,2021,3,2,0,2,9,0,1,FALSE,1,Traditional,190000,2,Northeast Houston,12,12,1/25/2021,HOUSTON ISD,ELMORE EL,KASHMERE H S,"8009 Ritz Street, Houston, Texas, 77028",29.82656737,-95.28060102,"(29.826567367346936, -95.28060102040816)"
2068135,10910,Tupper Lake Drive,,Houston,77042,Harris,Lakeside Forest,Single-Family,1970,4,2,1,2.1,9,1,2,FALSE,2,Traditional,429000,31,Memorial West,96,96,10/9/2020,HOUSTON ISD,ASKEW EL,WESTSIDE H S,"10910 Tupper Lake Drive, Houston, Texas, 77042",29.75563372,-95.57011293,"(29.75563372210528, -95.5701129263183)"
2235093,953,Dunleigh Meadows Lane ,,Houston,77055,Harris,Somerset Green,Single-Family,2020,3,3,1,3.1,8,0,3,FALSE,2,Georgian,745000,9,Timbergrove/Lazybrook,25,264,1/12/2021,HOUSTON ISD,SINCLAIR EL,WALTRIP H S,"953 Dunleigh Meadows Lane , Houston, Texas, 77055",29.7870228,-95.4442406,"(29.7870228, -95.4442406)"
2373527,1416,Wichman Street,,Houston,77007,Harris,Forest Park Lndg,Single-Family,2019,3,3,1,3.1,5,0,4,FALSE,2,Contemporary/Modern,449900,16,Rice Military/Washington Corridor,33,48,1/4/2021,HOUSTON ISD,CROCKETT EL,HEIGHTS H S,"1416 Wichman Street, Houston, Texas, 77007",29.77373837,-95.39308483,"(29.773738370153414, -95.3930848321515)"
2375107,9114,Wayside Drive,,Houston,77028,Harris,Parkhurst Estates Sec 02,Single-Family,1940,3,3,1,3.1,3,0,1,FALSE,0,Traditional,250000,2,Northeast Houston,481,846,10/8/2019,HOUSTON ISD,HILLIARD EL,NORTH FOREST H S,"9114 Wayside Drive, Houston, Texas, 77028",29.7658234,-95.2945321,"(29.7658234, -95.2945321)"
2376944,2621,Sunset Boulevard,,West University Place,77005,Harris,Evanston,Single-Family,2020,4,4,1,4.1,8,1,2,FALSE,1,"Contemporary/Modern, Other Style",2298000,17,West University/Southside Area,63,409,12/5/2020,HOUSTON ISD,WEST UNIVERSITY EL,LAMAR H S,"2621 Sunset Boulevard, West University Place, Texas, 77005",29.72302706,-95.41899411,"(29.72302706060606, -95.4189941111111)"
2418496,341,Parkview,,Houston,77009,Harris,Mcdow,Single-Family,2019,5,3,1,3.1,14,0,1,FALSE,3,Traditional,1249000,9,Heights/Greater Heights,131,131,9/21/2020,HOUSTON ISD,TRAVIS EL,HEIGHTS H S,"341 Parkview, Houston, Texas, 77009",29.78388889,-95.37007357,"(29.78388888590604, -95.3700735704698)"
2427259,10222,Piping Rock Lane,,Houston,77042,Harris,Briargrove Park Sec 04,Single-Family,1974,3,2,1,2.1,8,1,2,TRUE,0,Traditional,475000,22,Briargrove Park/Walnutbend,78,78,11/20/2020,HOUSTON ISD,WALNUT BEND EL,WESTSIDE H S,"10222 Piping Rock Lane, Houston, Texas, 77042",29.74082306,-95.55421173,"(29.74082306122449, -95.55421173469388)"
2561808,3218,Suffolk Drive,,Houston,77027,Harris,Lynn Park,Single-Family,1951,3,2,0,2,8,0,1,FALSE,0,"Ranch, Traditional",724000,16,Highland Village/Midlane,32,32,1/5/2021,HOUSTON ISD,WILSON MONTESSORI,LAMAR H S,"3218 Suffolk Drive, Houston, Texas, 77027",29.7411108,-95.4475031,"(29.7411108, -95.4475031)"
2569510,2330,Gramercy Street,,Houston,77030,Harris,Braeswood,Single-Family,2014,5,6,1,6.1,12,3,2,TRUE,3,Traditional,2285000,17,Rice/Museum District,57,239,12/11/2020,HOUSTON ISD,ROBERTS EL,LAMAR H S,"2330 Gramercy Street, Houston, Texas, 77030",29.70461228,-95.41322395,"(29.70461227620737, -95.41322394804364)"
2571718,1402,Missouri  Street,B,Houston,77006,Harris,Hyde Pk Partial Replat #8,Single-Family,2020,3,3,1,3.1,6,0,3,FALSE,2,Contemporary/Modern,715000,16,Montrose,26,89,1/11/2021,HOUSTON ISD,WILSON MONTESSORI,LAMAR H S,"1402 Missouri  Street, Houston, Texas, 77006",29.74625231,-95.39424549,"(29.74625230612245, -95.39424548979592)"
2571718,1402,Missouri  Street,B,Houston,77006,Harris,Hyde Pk Partial Replat #8,Single-Family,2020,3,3,1,3.1,6,0,3,FALSE,2,Contemporary/Modern,715000,16,Montrose,26,89,1/11/2021,HOUSTON ISD,WILSON MONTESSORI,LAMAR H S,"1402 Missouri  Street, Houston, Texas, 77006",29.74625231,-95.39424549,"(29.74625230612245, -95.39424548979592)"
2587468,3642,Blue Bonnet Boulevard,,Houston,77025,Harris,Braes Heights Sec 2 R/P,Single-Family,2012,5,4,0,4,14,1,2,FALSE,2,Traditional,1245000,17,Braeswood Place,21,196,1/16/2021,HOUSTON ISD,TWAIN EL,LAMAR H S,"3642 Blue Bonnet Boulevard, Houston, Texas, 77025",29.70055398,-95.43264116,"(29.70055397659058, -95.43264115733442)"
2659908,3303,Wentworth Street,,Houston,77004,Harris,Haden Terrace Sec 01,Single-Family,1948,4,2,1,2.1,6,0,1,FALSE,0,Traditional,399000,4,University Area,98,106,10/16/2020,HOUSTON ISD,LOCKHART EL,YATES H S,"3303 Wentworth Street, Houston, Texas, 77004",29.71923078,-95.36404206,"(29.719230775510205, -95.3640420612245)"
2677308,608,Avenue Of Oaks Street,,Houston,77009,Harris,Lindale Park Sec 1,Single-Family,1941,3,2,0,2,8,1,1,FALSE,1,Traditional,432000,9,Northside,148,148,8/11/2020,HOUSTON ISD,JEFFERSON EL,NORTHSIDE H S,"608 Avenue Of Oaks Street, Houston, Texas, 77009",29.81154802,-95.3638514,"(29.81154802013423, -95.36385140268456)"
2678297,813,Nicholson ,,Houston,77007,Harris,Houston Heights,Single-Family,2015,3,3,1,3.1,8,1,3,FALSE,0,Traditional,950000,9,Heights/Greater Heights,1,1,2/5/2021,HOUSTON ISD,LOVE EL,HEIGHTS H S,"813 Nicholson , Houston, Texas, 77007",29.78536369,-95.40551965,"(29.78536369387755, -95.40551965306122)"
2707648,1124,Hammock Street,,Houston,77009,Harris,Hammock,Single-Family,1930,2,2,2,2.2,2,0,1,FALSE,0,Traditional,379900,9,Northside,16,16,1/21/2021,HOUSTON ISD,KETELSEN EL,NORTHSIDE H S,"1124 Hammock Street, Houston, Texas, 77009",29.78601704,-95.36002765,"(29.78601704081633, -95.36002765306122)"
2743430,4415,Grass Valley Street,,Houston,77018,Harris,Candlelight Estates Sec 01,Single-Family,1960,3,2,0,2,6,0,1,FALSE,2,"Ranch, Traditional",379000,9,Oak Forest East Area,31,96,1/6/2021,HOUSTON ISD,STEVENS EL,SCARBOROUGH H S,"4415 Grass Valley Street, Houston, Texas, 77018",29.83719514,-95.45295814,"(29.837195142857144, -95.45295814285714)"
2823691,5806,Post Oak Lane,,Houston,77055,Harris,Uptown North,Single-Family,2021,3,3,1,3.1,6,0,3,FALSE,2,"Contemporary/Modern, Traditional",379990,24,Spring Branch,23,73,1/14/2021,HOUSTON ISD,SINCLAIR EL,WALTRIP H S,"5806 Post Oak Lane, Houston, Texas, 77055",29.7750728,-95.45839267,"(29.7750728, -95.45839266875547)"
2837464,5735,Heron Drive,,Houston,77033,Harris,Edgewood Terrace Sec 02,Single-Family,1961,3,1,1,1.1,10,0,1,FALSE,0,Traditional,139990,3,Medical Center South,4,4,2/2/2021,HOUSTON ISD,MADING EL,STERLING H S,"5735 Heron Drive, Houston, Texas, 77033",29.65943881,-95.33464351,"(29.659438811526783, -95.33464350653135)"
2853980,12443,Briar Forest Drive,,Houston,77077,Harris,Ashford Forest Sec 04,Single-Family,1971,4,2,0,2,9,1,1,FALSE,2,Traditional,315990,31,Energy Corridor,83,83,11/15/2020,HOUSTON ISD,ASHFORD EL,WESTSIDE H S,"12443 Briar Forest Drive, Houston, Texas, 77077",29.75351956,-95.60011589,"(29.75351956040551, -95.60011589079583)"
2866520,6306,Conley Street,,Houston,77021,Harris,Belmont Sec 02,Single-Family,1938,2,1,0,1,5,0,1,FALSE,0,Traditional,135000,4,University Area,2,2,2/4/2021,HOUSTON ISD,PECK EL,YATES H S,"6306 Conley Street, Houston, Texas, 77021",29.69713833,-95.35565927,"(29.697138326530613, -95.35565926530613)"
2873391,902,Martin  Street,B,Houston,77018,Harris,Independence Heights,Single-Family,2020,3,3,1,3.1,11,0,3,FALSE,2,Contemporary/Modern,334990,9,Shepherd Park Plaza Area,84,84,10/14/2020,HOUSTON ISD,DURHAM EL,WALTRIP H S,"902 Martin  Street, Houston, Texas, 77018",29.834717,-95.4145117,"(29.834717, -95.4145116969697)"
2873391,902,Martin  Street,B,Houston,77018,Harris,Independence Heights,Single-Family,2020,3,3,1,3.1,11,0,3,FALSE,2,Contemporary/Modern,334990,9,Shepherd Park Plaza Area,84,84,10/14/2020,HOUSTON ISD,DURHAM EL,WALTRIP H S,"902 Martin  Street, Houston, Texas, 77018",29.834717,-95.4145117,"(29.834717, -95.4145116969697)"
2914096,1809,Dunlavy Street,,Houston,77006,Harris,Montrose,Single-Family,2020,3,2,1,2.1,9,0,2,FALSE,2,Traditional,569900,16,Montrose,79,79,11/19/2020,HOUSTON ISD,WILSON MONTESSORI,LAMAR H S,"1809 Dunlavy Street, Houston, Texas, 77006",29.74993773,-95.40206909,"(29.749937727272727, -95.4020690909091)"
2927265,3905,Floyd ,,Houston,77007,Harris,Hartman,Single-Family,2014,4,3,1,3.1,10,1,3,FALSE,2,Contemporary/Modern,799000,16,Rice Military/Washington Corridor,25,25,1/12/2021,HOUSTON ISD,MEMORIAL EL,HEIGHTS H S,"3905 Floyd , Houston, Texas, 77007",29.76814051,-95.40008833,"(29.76814051020408, -95.40008832653062)"
3021508,823,Nashua Street,,Houston,77008,Harris,Timbergrove Manor Sec 03,Single-Family,1951,3,3,0,3,3,0,1,FALSE,2,"Ranch, Traditional",745000,9,Timbergrove/Lazybrook,2,2,2/4/2021,HOUSTON ISD,LOVE EL,WALTRIP H S,"823 Nashua Street, Houston, Texas, 77008",29.7853467,-95.41234762,"(29.785346703111813, -95.41234761754411)"
3027961,2411,Tuam Street,,Houston,77004,Harris,Holman Outlot 14,Single-Family,1930,0,1,0,1,0,0,1,FALSE,0,Traditional,259000,4,University Area,54,54,12/14/2020,HOUSTON ISD,BLACKSHEAR EL,YATES H S,"2411 Tuam Street, Houston, Texas, 77004",29.73625551,-95.36331818,"(29.73625551020408, -95.36331818367347)"
3074089,5819,Post Oak Lane,,Houston,77055,Harris,Uptown North,Single-Family,2021,3,3,1,3.1,6,0,3,FALSE,2,"Contemporary/Modern, Traditional",379990,24,Spring Branch,23,72,1/14/2021,HOUSTON ISD,SINCLAIR EL,WALTRIP H S,"5819 Post Oak Lane, Houston, Texas, 77055",29.7750728,-95.45839267,"(29.7750728, -95.45839266875547)"
3156606,9118,Mcavoy Drive,,Houston,77074,Harris,Braes Timbers,Single-Family,1958,3,2,0,2,6,0,1,FALSE,0,Traditional,284990,20,Brays Oaks,5,28,2/1/2021,HOUSTON ISD,MCNAMARA EL,SHARPSTOWN H S,"9118 Mcavoy Drive, Houston, Texas, 77074",29.6799064,-95.50373041,"(29.679906402281066, -95.50373041457418)"
3165079,805,Fisher Street,,Houston,77018,Harris,Oak Grove,Single-Family,1947,3,2,1,2.1,3,0,1,FALSE,1,Other Style,764000,9,Oak Forest East Area,29,29,1/8/2021,HOUSTON ISD,GARDEN OAKS MONTESSORI,WALTRIP H S,"805 Fisher Street, Houston, Texas, 77018",29.822828,-95.41491675,"(29.822828, -95.41491675)"
3188997,1919,Elmen Street,,Houston,77019,Harris,Hyde Park Main,Single-Family,2017,3,3,1,3.1,14,1,2,FALSE,2,"Contemporary/Modern, Traditional",1549000,16,River Oaks Shopping Area,95,95,10/23/2020,HOUSTON ISD,WILSON MONTESSORI,LAMAR H S,"1919 Elmen Street, Houston, Texas, 77019",29.74892184,-95.4037378,"(29.74892183673469, -95.40373779591836)"
3308084,5034,Yarwell Drive,,Houston,77096,Harris,Meyerland Sec 08 R/P A,Single-Family,1959,3,2,0,2,3,1,1,TRUE,1,Ranch,384900,20,Meyerland Area,229,229,6/22/2020,HOUSTON ISD,KOLTER EL,BELLAIRE H S,"5034 Yarwell Drive, Houston, Texas, 77096",29.6722598,-95.46686165,"(29.672259798990797, -95.46686164624737)"
3329659,4202,Eigel Street,,Houston,77007,Harris,Koehlers 1st Add Pt Rep 3,Single-Family,2016,3,3,1,3.1,7,1,4,FALSE,2,"Contemporary/Modern, Traditional",699900,16,Rice Military/Washington Corridor,12,414,1/25/2021,HOUSTON ISD,MEMORIAL EL,HEIGHTS H S,"4202 Eigel Street, Houston, Texas, 77007",29.77500831,-95.40391075,"(29.775008309090907, -95.40391074545454)"
3342564,1710,Northwood Street,,Houston,77009,Harris,Park at Northwood,Single-Family,2021,3,3,1,3.1,12,0,2,FALSE,2,"Contemporary/Modern, Other Style",441700,9,Heights/Greater Heights,60,205,12/8/2020,HOUSTON ISD,JEFFERSON EL,HEIGHTS H S,"1710 Northwood Street, Houston, Texas, 77009",29.80520926,-95.3780314,"(29.805209256789926, -95.37803139834915)"
3465776,406,Oriole,,Houston,77018,Harris,Oriole Place,Single-Family,1920,3,1,0,1,3,0,1,FALSE,1,Other Style,279995,9,Northwest Houston,50,50,12/18/2020,HOUSTON ISD,KENNEDY EL,WASHINGTON B T H S,"406 Oriole, Houston, Texas, 77018",29.82388,-95.400764,"(29.82388, -95.400764)"
3498325,1205,W Tidwell Road,,Houston,77091,Harris,Tidwell Grove,Single-Family,2021,3,2,1,2.1,5,0,2,FALSE,2,Traditional,264900,9,Shepherd Park Plaza Area,23,23,1/14/2021,HOUSTON ISD,HIGHLAND HTS EL,WASHINGTON B T H S,"1205 W Tidwell Road, Houston, Texas, 77091",29.8469138,-95.43213069,"(29.846913802335774, -95.43213069216404)"
3515388,3703,Purdue Street,,Houston,77005,Harris,Sunset Terrace Sec 11,Single-Family,2015,4,4,1,4.1,17,2,2,TRUE,2,Traditional,2279000,17,West University/Southside Area,21,21,1/16/2021,HOUSTON ISD,WEST UNIVERSITY EL,LAMAR H S,"3703 Purdue Street, Houston, Texas, 77005",29.72648872,-95.43377584,"(29.726488719463045, -95.43377583800813)"
3541490,12359,Westella Drive,,Houston,77077,Harris,Ashford South Sec 02,Single-Family,1971,4,2,0,2,4,1,2,FALSE,2,Traditional,276000,31,Energy Corridor,3,3,2/3/2021,HOUSTON ISD,ASHFORD EL,WESTSIDE H S,"12359 Westella Drive, Houston, Texas, 77077",29.7506748,-95.60036163,"(29.750674795918368, -95.60036163265306)"
3554395,6106,Foster Street,,Houston,77021,Harris,Rossonian Court,Single-Family,2002,4,2,1,2.1,4,0,2,FALSE,0,Contemporary/Modern,250000,4,University Area,1,1,2/5/2021,HOUSTON ISD,PECK EL,YATES H S,"6106 Foster Street, Houston, Texas, 77021",29.69855769,-95.35167545,"(29.698557690015612, -95.35167545105072)"
3589297,8500,Wateka Drive,,Houston,77074,Harris,Braeburn Acres,Single-Family,1968,6,5,1,5.1,20,0,2,FALSE,0,"Contemporary/Modern, Ranch",875000,21,Sharpstown Area,55,55,8/24/2020,HOUSTON ISD,BONHAM EL,SHARPSTOWN H S,"8500 Wateka Drive, Houston, Texas, 77074",29.68667766,-95.52389937,"(29.686677660334208, -95.52389937029858)"
3631477,2432,Cochran,,Houston,77009,Harris,Cochran Estates,Single-Family,2018,3,2,1,2.1,5,0,2,FALSE,2,Traditional,345000,9,Northside,45,45,12/23/2020,HOUSTON ISD,MARTINEZ C EL,NORTHSIDE H S,"2432 Cochran, Houston, Texas, 77009",29.78369653,-95.35601094,"(29.783696530612247, -95.35601093877551)"
3643027,4818,Spruce Street,,Bellaire,77401,Harris,Bellaire,Single-Family,1984,3,2,1,2.1,8,1,2,FALSE,2,Traditional,785000,17,Bellaire Area,108,108,10/21/2020,HOUSTON ISD,CONDIT EL,BELLAIRE H S,"4818 Spruce Street, Bellaire, Texas, 77401",29.70803139,-95.46274031,"(29.7080313877551, -95.46274030612246)"
3654933,1834,Main Street,,Houston,77098,Harris,Montrose,Single-Family,2019,4,3,1,3.1,10,1,4,FALSE,2,Contemporary/Modern,750000,16,Montrose,195,418,7/23/2020,HOUSTON ISD,POE EL,LAMAR H S,"1834 Main Street, Houston, Texas, 77098",29.7206625,-95.3937472,"(29.7206625, -95.3937472)"
3724611,5906,Winsome  Lane,B,Houston,77057,Harris,Westheimer Gardens Ext,Single-Family,1985,2,2,1,2.1,7,1,2,FALSE,2,Traditional,289060,22,Galleria,62,328,10/30/2020,HOUSTON ISD,BRIARGROVE EL,WISDOM H S,"5906 Winsome  Lane, Houston, Texas, 77057",29.73551194,-95.48246474,"(29.735511939393938, -95.48246473737375)"
3742892,121,18th Street,,Houston,77008,Harris,Houston Heights,Single-Family,1920,2,3,0,3,6,0,1,TRUE,2,Traditional,1279000,9,Heights/Greater Heights,99,99,10/30/2020,HOUSTON ISD,FIELD EL,HEIGHTS H S,"121 18th Street, Houston, Texas, 77008",29.677502,-95.353798,"(29.677502, -95.353798)"
3782136,9719,Atwell Drive,,Houston,77096,Harris,Marilyn Estates Sec 10,Single-Family,1968,5,4,0,4,12,1,1,TRUE,2,Traditional,350000,20,Meyerland Area,32,32,1/5/2021,HOUSTON ISD,KOLTER EL,WESTBURY H S,"9719 Atwell Drive, Houston, Texas, 77096",29.67483316,-95.48261659,"(29.674833163265305, -95.48261659183673)"
3798854,4607,Fisk Street,,Houston,77009,Harris,,Single-Family,1940,2,1,0,1,3,0,1,FALSE,0,Traditional,399000,9,Northside,44,600,12/24/2020,HOUSTON ISD,JEFFERSON EL,NORTHSIDE H S,"4607 Fisk Street, Houston, Texas, 77009",29.8016596,-95.37063436,"(29.80165959731544, -95.3706343624161)"
3834876,5129,Longmont Drive,,Houston,77056,Harris,Tanglewood,Single-Family,2001,5,5,2,5.2,19,2,2,TRUE,3,Traditional,2299000,22,Tanglewood Area,187,187,8/3/2020,HOUSTON ISD,BRIARGROVE EL,WISDOM H S,"5129 Longmont Drive, Houston, Texas, 77056",29.75554915,-95.46625197,"(29.755549151162793, -95.46625196511629)"
3869729,4521,Wedgewood Drive,,Bellaire,77401,Harris,Russell Place,Single-Family,1953,3,2,0,2,3,0,1,FALSE,2,"Ranch, Traditional",519500,17,Bellaire Area,124,124,10/5/2020,HOUSTON ISD,HORN EL,BELLAIRE H S,"4521 Wedgewood Drive, Bellaire, Texas, 77401",29.71580125,-95.45406422,"(29.71580125029731, -95.45406421626029)"
3872865,4519,Graustark Street,,Houston,77006,Harris,Graustark Villas,Single-Family,2020,3,3,1,3.1,14,0,4,FALSE,2,Contemporary/Modern,609900,16,Montrose,45,233,12/23/2020,HOUSTON ISD,POE EL,LAMAR H S,"4519 Graustark Street, Houston, Texas, 77006",29.73192024,-95.39458705,"(29.731920238095235, -95.39458704761905)"
3886379,8411,HEMPSTEAD  ,G,Houston,77008,Harris,MAYFAIR AT HEMPSTEAD,Single-Family,2020,3,3,1,3.1,5,0,3,FALSE,2,Contemporary/Modern,425000,9,Timbergrove/Lazybrook,141,179,9/14/2020,HOUSTON ISD,SINCLAIR EL,WALTRIP H S,"8411 HEMPSTEAD  , Houston, Texas, 77008",29.78651728,-95.43873737,"(29.78651727791102, -95.43873736949797)"
4065125,1241,Omar Street,,Houston,77008,Harris,Stude Sec 02,Single-Family,2008,4,3,1,3.1,13,1,2,TRUE,5,Other Style,1695900,9,Heights/Greater Heights,116,225,10/13/2020,HOUSTON ISD,HARVARD EL,HEIGHTS H S,"1241 Omar Street, Houston, Texas, 77008",29.78812473,-95.38868016,"(29.788124734693877, -95.3886801632653)"
4117192,22,Bash Place,,Houston,77027,Harris,West Lane Place Sec 03,Single-Family,1951,3,1,0,1,5,0,1,FALSE,1,Traditional,579900,16,Highland Village/Midlane,25,167,1/12/2021,HOUSTON ISD,GREGORY-LINCOLN ED CTR,LAMAR H S,"22 Bash Place, Houston, Texas, 77027",29.7341602,-95.44960354,"(29.73416019502673, -95.44960354276533)"
4139792,833,Little York Road,,Houston,77091,Harris,Green Meadows,Single-Family,1950,2,1,0,1,2,0,1,FALSE,1,Traditional,148500,9,Northwest Houston,34,34,1/3/2021,HOUSTON ISD,WESLEY EL,WASHINGTON B T H S,"833 Little York Road, Houston, Texas, 77091",29.870328,-95.36863761,"(29.870328, -95.36863760507548)"
4244305,856,Dunleigh Meadows Lane,,Houston,77055,Harris,Somerset Green,Single-Family,2016,3,3,1,3.1,9,0,4,FALSE,3,Traditional,749000,9,Timbergrove/Lazybrook,77,712,11/21/2020,HOUSTON ISD,SINCLAIR EL,WALTRIP H S,"856 Dunleigh Meadows Lane, Houston, Texas, 77055",29.7870228,-95.4442406,"(29.7870228, -95.4442406)"
4356653,7627,Braesglen Drive,,Houston,77071,Harris,Maplewood West R/P,Single-Family,1971,4,2,1,2.1,10,1,1,TRUE,1,Traditional,285000,20,Brays Oaks,199,199,6/27/2020,HOUSTON ISD,MILNE EL,SHARPSTOWN H S,"7627 Braesglen Drive, Houston, Texas, 77071",29.67322382,-95.51106955,"(29.67322381632653, -95.51106955102041)"
4385377,637,16th Street,,Houston,77008,Harris,Houston Heights,Single-Family,2005,3,2,1,2.1,9,1,2,FALSE,2,Traditional,815000,9,Heights/Greater Heights,29,29,1/8/2021,HOUSTON ISD,HELMS EL,HEIGHTS H S,"637 16th Street, Houston, Texas, 77008",29.6552296,-95.2101112,"(29.6552296, -95.2101112)"
