mls,school
78714713,KOLTER EL
19274350,LONGFELLOW EL
94342599,LONGFELLOW EL
87165518,LONGFELLOW EL
19265001,LONGFELLOW EL
57468906,LONGFELLOW EL
45849536,LONGFELLOW EL
93697697,LONGFELLOW EL
59665557,LONGFELLOW EL
77414875,LONGFELLOW EL
54588869,LONGFELLOW EL
48312609,LONGFELLOW EL
92227738,LONGFELLOW EL
21845693,LONGFELLOW EL
11549404,LONGFELLOW EL
39394606,LONGFELLOW EL
37309650,LONGFELLOW EL
88099743,LONGFELLOW EL
74567285,LONGFELLOW EL
47718854,LONGFELLOW EL
28582678,LONGFELLOW EL
85748333,LONGFELLOW EL
69677787,LONGFELLOW EL
44009255,LONGFELLOW EL
4090512,LONGFELLOW EL
97944204,LONGFELLOW EL
5229819,LONGFELLOW EL
45337960,LONGFELLOW EL
52616266,LONGFELLOW EL
92345402,LONGFELLOW EL
55196233,LONGFELLOW EL
24755039,LONGFELLOW EL
51809847,LONGFELLOW EL
56048676,LONGFELLOW EL
47361024,LONGFELLOW EL
55067084,LONGFELLOW EL
70313646,LONGFELLOW EL
52837617,LOVETT EL
77839356,LOVETT EL
88417562,LOVETT EL
72603149,LOVETT EL
89799804,LOVETT EL
65152483,LOVETT EL
26061449,LOVETT EL
50753256,LOVETT EL
94765437,LOVETT EL
22126601,LOVETT EL
71104789,LOVETT EL
44962276,LOVETT EL
47451103,LOVETT EL
29811701,LOVETT EL
30911107,LOVETT EL
51193711,LOVETT EL
24509312,LOVETT EL
88694178,LOVETT EL
29821438,LOVETT EL
5909989,LOVETT EL
95880901,LOVETT EL
29015026,LOVETT EL
53390727,LOVETT EL
61081499,LOVETT EL
62209279,LOVETT EL
29856986,RED EL
30098078,RED EL
86259312,RED EL
68628266,RED EL
13474879,RED EL
7098707,RED EL
80333076,RED EL
20985865,RED EL
26732984,RED EL
43202550,RED EL
75736144,RED EL
48508439,RED EL
40121300,SHEARN EL
50858365,SHEARN EL
4678779,SHEARN EL
19058858,TWAIN EL
76942831,TWAIN EL
53204216,TWAIN EL
90208401,TWAIN EL
70718093,TWAIN EL
89775501,TWAIN EL
21501605,TWAIN EL
42989659,TWAIN EL
22118694,TWAIN EL
61425400,TWAIN EL
50248729,TWAIN EL
62316688,TWAIN EL
25267061,TWAIN EL
70674296,TWAIN EL
55570440,TWAIN EL
10856966,GARRETT EL
68137007,BELLFORT EARLY CHILDHOOD CENTER
32239550,BELLFORT EARLY CHILDHOOD CENTER
85775766,BONNER EL
33772916,BONNER EL
40849300,BONNER EL
9075607,BONNER EL
49584277,BONNER EL
79676500,BONNER EL
14449468,BONNER EL
96075644,CORNELIUS EL
40717071,CORNELIUS EL
17007760,CORNELIUS EL
87479105,LEWIS EL
42527735,LEWIS EL
93174115,PARK PLACE EL
53528475,PARK PLACE EL
92718583,PARK PLACE EL
69314110,PARK PLACE EL
50533622,PATTERSON EL
92925735,PATTERSON EL
93609082,PATTERSON EL
59044525,PATTERSON EL
15046737,PATTERSON EL
20492616,PATTERSON EL
26361517,PATTERSON EL
30635754,PATTERSON EL
90127975,RUCKER EL
20967790,RUCKER EL
81885747,RUCKER EL
59918721,SANCHEZ EL
7105494,FIEST EL
41820992,FIEST EL
53907725,OATES EL
55649356,OATES EL
85215616,OATES EL
73834427,PLEASANTVILLE EL
62774920,PLEASANTVILLE EL
10163892,PLEASANTVILLE EL
18983639,PLEASANTVILLE EL
69454330,PLEASANTVILLE EL
47858557,PLEASANTVILLE EL
92360146,PLEASANTVILLE EL
47011395,PLEASANTVILLE EL
66140631,PLEASANTVILLE EL
9503452,PORT HOUSTON EL
72682635,ROBINSON EL
13355065,WHITTIER EL
8656715,WHITTIER EL
63016182,WHITTIER EL
71235874,PLEASANTVILLE EL
30800567,BROWNING EL
14073990,BROWNING EL
44314266,BROWNING EL
83768094,BROWNING EL
90524755,BROWNING EL
63040814,BROWNING EL
87174327,BROWNING EL
21585737,BROWNING EL
76928521,BROWNING EL
76572895,BROWNING EL
83139865,BROWNING EL
43460441,BROWNING EL
81064174,BROWNING EL
38282234,BROWNING EL
64015249,BROWNING EL
18436637,BROWNING EL
55205588,BROWNING EL
72030695,BROWNING EL
78213971,BROWNING EL
36847237,BROWNING EL
35500408,BROWNING EL
72419341,BROWNING EL
20660511,BROWNING EL
754009,BROWNING EL
1036880,BROWNING EL
90780937,BROWNING EL
68299848,CROCKETT EL
15987620,CROCKETT EL
58460346,CROCKETT EL
49236987,CROCKETT EL
21704234,CROCKETT EL
30281869,CROCKETT EL
74890862,CROCKETT EL
32093989,CROCKETT EL
71922750,CROCKETT EL
83302377,CROCKETT EL
73250713,CROCKETT EL
85198581,CROCKETT EL
91263123,CROCKETT EL
46668568,CROCKETT EL
13225876,CROCKETT EL
71882843,CROCKETT EL
14716819,CROCKETT EL
11561817,CROCKETT EL
53441088,CROCKETT EL
2373527,CROCKETT EL
38368751,CROCKETT EL
53153283,CROCKETT EL
83937302,CROCKETT EL
35142147,CROCKETT EL
39300234,CROCKETT EL
31374143,CROCKETT EL
5340360,CROCKETT EL
84454673,CROCKETT EL
82013228,CROCKETT EL
97114764,CROCKETT EL
73838809,CROCKETT EL
