mls,street_number,street_name,unit,city,zip,county,subdivision,home_type,year_built,bedrooms,full_baths,half_baths,total_baths,room_count,fireplaces,stories,pool_private,garages,style,list_price,market_area,area,dom,cdom,list_date,school_district,elementary,high_school
54116504,1406,Crocker Street,,Houston,77019,Harris,Crocker Grove,Single-Family,2010,3,3,1,3.1,12,1,3,FALSE,2,Traditional,635000,16,Montrose,17,17,1/20/2021,HOUSTON ISD,WHARTON K-8 DUAL LANGUAGE ACADEMY,LAMAR HIGH SCHOOL
54119451,3301,GLEN HAVEN Boulevard,,Houston,77025,Harris,Southern Oaks,Single-Family,2015,5,5,1,5.1,14,1,2,TRUE,0,Traditional,1475000,17,Braeswood Place,24,24,1/13/2021,HOUSTON ISD,TWAIN ELEMENTARY,LAMAR HIGH SCHOOL
54150804,5037,De Milo Drive,,Houston,77092,Harris,Oak Forest Sec 16,Single-Family,1955,3,1,1,1.1,3,0,1,FALSE,2,Traditional,315000,9,Oak Forest West Area,3,3,2/3/2021,HOUSTON ISD,SMITH ELEMENTARY,SCARBOROUGH HIGH SCHOOL
54183370,6404,Haskell Street,,Houston,77007,Harris,Camp Logan,Single-Family,2020,4,4,2,4.2,16,0,3,FALSE,2,Contemporary/Modern,1400000,16,Memorial Park,271,271,5/11/2020,HOUSTON ISD,MEMORIAL ELEMENTARY,LAMAR HIGH SCHOOL
54319227,5319,Willowbend Boulevard,,Houston,77096,Harris,WESTBURY 2,Single-Family,1956,3,2,0,2,9,0,1,FALSE,2,Traditional,339000,20,Brays Oaks,15,15,1/22/2021,HOUSTON ISD,PARKER ELEMENTARY,WESTBURY HIGH SCHOOL
54357446,9607,Bauman Road,,Houston,77076,Harris,Burbank Lawn,Single-Family,1948,3,1,1,1.1,3,0,1,FALSE,0,Traditional,150000,9,Northwest Houston,15,15,1/22/2021,HOUSTON ISD,LYONS ELEMENTARY,HOUSTON MATH SCIENCE AND TECHNOLOG
54379447,322,37th Street,B,Houston,77018,Harris,Independence Heights,Single-Family,2020,3,2,1,2.1,3,1,2,FALSE,2,"Contemporary/Modern, Traditional",364990,9,Northwest Houston,299,299,4/13/2020,HOUSTON ISD,BURRUS ELEMENTARY,WASHINGTON B T HIGH SCHOOL
54400964,1421,Waverly Street,,Houston,77008,Harris,Houston Heights,Single-Family,1920,5,4,0,4,0,1,2,TRUE,2,Traditional,1449000,9,Heights/Greater Heights,59,419,12/9/2020,HOUSTON ISD,LOVE ELEMENTARY,HEIGHTS HIGH SCHOOL
54430802,5827,Augusta Court,,Houston,77057,Harris,Augusta Court,Single-Family,1997,3,3,1,3.1,7,1,2,FALSE,2,Traditional,535000,22,Galleria,31,31,11/25/2020,HOUSTON ISD,BRIARGROVE ELEMENTARY,WISDOM HIGH SCHOOL
54532623,1923,Creegan Park Court,,Houston,77047,Harris,City Park West Sec 01,Single-Family,2007,4,2,1,2.1,8,1,2,FALSE,2,Traditional,249500,3,Five Corners,7,7,1/30/2021,HOUSTON ISD,ALMEDA ELEMENTARY,WORTHING HIGH SCHOOL
