mls,street_number,street_name,unit,city,zip,county,subdivision,home_type,year_built,bedrooms,full_baths,half_baths,total_baths,room_count,fireplaces,stories,pool_private,garages,style,list_price,market_area,area,dom,cdom,list_date,school_district,elementary,high_school
242718,5407,Chevy Chase Drive,,Houston,77056,Harris,Del Monte Place,Single-Family,1970,3,3,2,3.2,9,1,2,FALSE,2,Traditional,875000,22,Galleria,85,85,11/13/2020,HOUSTON ISD,BRIARGROVE ELEMENTARY,WISDOM HIGH SCHOOL
296833,4011,Starbright Street,,Houston,77018,Harris,Oak Forest Manor,Single-Family,2020,3,2,1,2.1,10,0,2,FALSE,2,Traditional,378170,9,Oak Forest East Area,337,337,3/6/2020,HOUSTON ISD,OAK FOREST ELEMENTARY,WALTRIP HIGH SCHOOL
468622,1030,Creekmont Drive,,Houston,77091,Harris,Shepherd Park Terrace Sec 01,Single-Family,1971,3,2,0,2,3,0,1,TRUE,2,Traditional,355999,9,Shepherd Park Plaza Area,50,50,12/11/2020,HOUSTON ISD,HIGHLAND HTS ELEMENTARY,WASHINGTON B T HIGH SCHOOL
474952,42,Broad Oaks Drive,,Houston,77056,Harris,Broad Oaks,Single-Family,1964,4,5,0,5,7,1,2,TRUE,0,Traditional,1390000,22,Tanglewood Area,184,184,8/6/2020,HOUSTON ISD,BRIARGROVE ELEMENTARY,WISDOM HIGH SCHOOL
531033,12322,Honeywood Trail,,Houston,77077,Harris,Ashford Forest Lake,Single-Family,1971,4,4,1,4.1,12,1,2,TRUE,0,Traditional,850000,31,Energy Corridor,105,105,10/24/2020,HOUSTON ISD,SHADOWBRIAR ELEMENTARY,WESTSIDE HIGH SCHOOL
535780,5708,Dolores  Street,E,Houston,77057,Harris,Delores Place Estates,Single-Family,2007,3,3,1,3.1,8,1,3,FALSE,2,"Spanish, Traditional",535000,22,Galleria,32,406,1/5/2021,HOUSTON ISD,BRIARGROVE ELEMENTARY,WISDOM HIGH SCHOOL
754009,4630,Kermit,,Houston,77009,Harris,Sojourner,Single-Family,2021,6,4,2,4.2,10,0,2,FALSE,0,Traditional,945000,9,Heights/Greater Heights,18,18,1/19/2021,HOUSTON ISD,BROWNING ELEMENTARY,HEIGHTS HIGH SCHOOL
845387,6803,Donlen Street,,Houston,77022,Harris,JS Collins Surv Abs-196,Single-Family,1958,3,2,0,2,6,0,1,FALSE,0,Traditional,325000,9,Northwest Houston,22,22,1/15/2021,HOUSTON ISD,HERRERA ELEMENTARY,HOUSTON MATH SCIENCE AND TECHNOLOG
849724,6230,Rutherglenn Drive,,Houston,77096,Harris,Maplewood South Sec 07 R/P,Single-Family,1967,4,2,0,2,7,1,1,FALSE,2,Traditional,359900,20,Brays Oaks,33,33,1/4/2021,HOUSTON ISD,ELROD ELEMENTARY,WESTBURY HIGH SCHOOL
875166,2609,Cleburne Street,,Houston,77004,Harris,Washington Terrace,Single-Family,1928,3,2,0,2,3,0,2,FALSE,0,Traditional,199999,4,University Area,233,233,6/18/2020,HOUSTON ISD,LOCKHART ELEMENTARY,YATES HIGH SCHOOL
899952,5643,Park Village Drive,,Houston,77048,Harris,Kingdom Come,Single-Family,0,3,2,0,2,3,0,2,FALSE,2,Traditional,220900,3,Medical Center South,101,101,10/28/2020,HOUSTON ISD,FROST ELEMENTARY,STERLING HIGH SCHOOL
919728,1023,Gross Street,,Houston,77019,Harris,River Oaks Shopping,Single-Family,2021,4,3,1,3.1,9,0,3,FALSE,2,"Contemporary/Modern, Traditional",675000,16,River Oaks Shopping Area,17,108,1/20/2021,HOUSTON ISD,WILSON MONTESSORI,LAMAR HIGH SCHOOL
956258,520,Saulnier,,Houston,77019,Harris,Alden Place,Single-Family,2020,4,3,1,3.1,9,1,3,FALSE,2,"Contemporary/Modern, Other Style",819000,16,Montrose,59,237,12/9/2020,HOUSTON ISD,WHARTON K-8 DUAL LANGUAGE ACADEMY,LAMAR HIGH SCHOOL
964027,4105,Montrose Boulevard,,Houston,77006,Harris,Montrose,Single-Family,1994,3,2,1,2.1,7,2,3,FALSE,2,Traditional,719000,16,Montrose,4,4,2/2/2021,HOUSTON ISD,MACGREGOR ELEMENTARY,LAMAR HIGH SCHOOL
1016386,4369,Fiesta Lane,,Houston,77004,Harris,UNIVERSITY OAKS,Single-Family,1948,4,3,1,3.1,11,0,2,FALSE,2,Contemporary/Modern,489000,4,University Area,32,32,1/5/2021,HOUSTON ISD,LOCKHART ELEMENTARY,YATES HIGH SCHOOL
1029097,4701,Braeburn  Drive,B,Bellaire,77401,Harris,Ladin Place,Single-Family,2007,5,4,2,4.2,10,2,2,FALSE,0,Mediterranean,1595000,17,Bellaire Area,3,63,2/3/2021,HOUSTON ISD,CONDIT ELEMENTARY,BELLAIRE HIGH SCHOOL
1036880,4731,Main Street,,Houston,77009,Harris,Sojourner,Single-Family,1930,2,1,0,1,4,0,1,FALSE,0,Other Style,375000,9,Heights/Greater Heights,386,386,1/17/2020,HOUSTON ISD,BROWNING ELEMENTARY,HEIGHTS HIGH SCHOOL
1039842,2725,Kennedy St,,Houston,77003,Harris,East End/Bayou Sec 1,Single-Family,2015,3,3,1,3.1,6,0,4,FALSE,2,Traditional,507780,4,East End Revitalized,16,16,1/21/2021,HOUSTON ISD,BURNET ELEMENTARY,WHEATLEY HIGH SCHOOL
1041641,8009,Ritz Street,,Houston,77028,Harris,Liberty Road Manor Sec 22 U/R,Single-Family,2021,3,2,0,2,9,0,1,FALSE,1,Traditional,190000,2,Northeast Houston,12,12,1/25/2021,HOUSTON ISD,ELMORE ELEMENTARY,KASHMERE HIGH SCHOOL
2068135,10910,Tupper Lake Drive,,Houston,77042,Harris,Lakeside Forest,Single-Family,1970,4,2,1,2.1,9,1,2,FALSE,2,Traditional,429000,31,Memorial West,96,96,10/9/2020,HOUSTON ISD,ASKEW ELEMENTARY,WESTSIDE HIGH SCHOOL
2142528,4010,Meadow Lake,,Houston,77027,Harris,Oak Estates,Single-Family,2018,5,5,2,5.2,12,2,2,FALSE,2,Traditional,3125000,16,River Oaks Area,67,1077,12/1/2020,HOUSTON ISD,RIVER OAKS ELEMENTARY,LAMAR HIGH SCHOOL
2178041,12802,Marciano Street,,Houston,77048,Harris,Maple Village,Single-Family,2020,3,2,1,2.1,6,0,2,FALSE,2,Traditional,219990,3,Medical Center South,22,221,1/15/2021,HOUSTON ISD,FROST ELEMENTARY,STERLING HIGH SCHOOL
2187825,340,Eado Park Circle,,Houston,77020,Harris,Nobility Park,Single-Family,2017,3,3,1,3.1,6,0,3,FALSE,2,Contemporary/Modern,349000,2,Denver Harbor,56,56,12/12/2020,HOUSTON ISD,BRUCE ELEMENTARY,WHEATLEY HIGH SCHOOL
2235093,953,Dunleigh Meadows Lane ,,Houston,77055,Harris,Somerset Green,Single-Family,2020,3,3,1,3.1,8,0,3,FALSE,2,Georgian,745000,9,Timbergrove/Lazybrook,25,264,1/12/2021,HOUSTON ISD,SINCLAIR ELEMENTARY,WALTRIP HIGH SCHOOL
2363954,258,28th Street,,Houston,77008,Harris,Erin Pk/West 28th Street,Single-Family,2017,3,3,1,3.1,7,0,3,FALSE,0,Traditional,385000,9,Heights/Greater Heights,24,24,1/13/2021,HOUSTON ISD,HELMS ELEMENTARY,HEIGHTS HIGH SCHOOL
2373527,1416,Wichman Street,,Houston,77007,Harris,Forest Park Lndg,Single-Family,2019,3,3,1,3.1,5,0,4,FALSE,2,Contemporary/Modern,449900,16,Rice Military/Washington Corridor,33,48,1/4/2021,HOUSTON ISD,CROCKETT ELEMENTARY,HEIGHTS HIGH SCHOOL
2375107,9114,Wayside Drive,,Houston,77028,Harris,Parkhurst Estates Sec 02,Single-Family,1940,3,3,1,3.1,3,0,1,FALSE,0,Traditional,250000,2,Northeast Houston,481,846,10/8/2019,HOUSTON ISD,HILLIARD ELEMENTARY,NORTH FOREST HIGH SCHOOL
2376944,2621,Sunset Boulevard,,West University Place,77005,Harris,Evanston,Single-Family,2020,4,4,1,4.1,8,1,2,FALSE,1,"Contemporary/Modern, Other Style",2298000,17,West University/Southside Area,63,409,12/5/2020,HOUSTON ISD,WEST UNIVERSITY ELEMENTARY,LAMAR HIGH SCHOOL
2418496,341,Parkview,,Houston,77009,Harris,Mcdow,Single-Family,2019,5,3,1,3.1,14,0,1,FALSE,3,Traditional,1249000,9,Heights/Greater Heights,131,131,9/21/2020,HOUSTON ISD,TRAVIS ELEMENTARY,HEIGHTS HIGH SCHOOL
2427259,10222,Piping Rock Lane,,Houston,77042,Harris,Briargrove Park Sec 04,Single-Family,1974,3,2,1,2.1,8,1,2,TRUE,0,Traditional,475000,22,Briargrove Park/Walnutbend,78,78,11/20/2020,HOUSTON ISD,WALNUT BEND ELEMENTARY,WESTSIDE HIGH SCHOOL
2538445,4723,Glen Isle Drive,,Houston,77009,Harris,Fulton Station,Single-Family,2020,3,2,1,2.1,6,0,2,FALSE,2,Traditional,350990,9,Northside,11,11,1/26/2021,HOUSTON ISD,JEFFERSON ELEMENTARY,NORTHSIDE HIGH SCHOOL
2561808,3218,Suffolk Drive,,Houston,77027,Harris,Lynn Park,Single-Family,1951,3,2,0,2,8,0,1,FALSE,0,"Ranch, Traditional",724000,16,Highland Village/Midlane,32,32,1/5/2021,HOUSTON ISD,WILSON MONTESSORI,LAMAR HIGH SCHOOL
2569510,2330,Gramercy Street,,Houston,77030,Harris,Braeswood,Single-Family,2014,5,6,1,6.1,12,3,2,TRUE,3,Traditional,2285000,17,Rice/Museum District,57,239,12/11/2020,HOUSTON ISD,ROBERTS ELEMENTARY,LAMAR HIGH SCHOOL
2571718,1402,Missouri  Street,B,Houston,77006,Harris,Hyde Pk Partial Replat #8,Single-Family,2020,3,3,1,3.1,6,0,3,FALSE,2,Contemporary/Modern,715000,16,Montrose,26,89,1/11/2021,HOUSTON ISD,WILSON MONTESSORI,LAMAR HIGH SCHOOL
2587468,3642,Blue Bonnet Boulevard,,Houston,77025,Harris,Braes Heights Sec 2 R/P,Single-Family,2012,5,4,0,4,14,1,2,FALSE,2,Traditional,1245000,17,Braeswood Place,21,196,1/16/2021,HOUSTON ISD,TWAIN ELEMENTARY,LAMAR HIGH SCHOOL
2652890,6517,Macroom Meadows Lane,,Houston,77048,Harris,South Meadow Place,Single-Family,2021,3,2,1,2.1,11,0,2,FALSE,2,Traditional,223490,3,Medical Center South,22,68,1/15/2021,HOUSTON ISD,FROST ELEMENTARY,STERLING HIGH SCHOOL
2659908,3303,Wentworth Street,,Houston,77004,Harris,Haden Terrace Sec 01,Single-Family,1948,4,2,1,2.1,6,0,1,FALSE,0,Traditional,399000,4,University Area,98,106,10/16/2020,HOUSTON ISD,LOCKHART ELEMENTARY,YATES HIGH SCHOOL
2677308,608,Avenue Of Oaks Street,,Houston,77009,Harris,Lindale Park Sec 1,Single-Family,1941,3,2,0,2,8,1,1,FALSE,1,Traditional,432000,9,Northside,148,148,8/11/2020,HOUSTON ISD,JEFFERSON ELEMENTARY,NORTHSIDE HIGH SCHOOL
2678297,813,Nicholson ,,Houston,77007,Harris,Houston Heights,Single-Family,2015,3,3,1,3.1,8,1,3,FALSE,0,Traditional,950000,9,Heights/Greater Heights,1,1,2/5/2021,HOUSTON ISD,LOVE ELEMENTARY,HEIGHTS HIGH SCHOOL
2702340,12531,Fleet River Road,,Houston,77047,Harris,City Gate,Single-Family,2020,3,2,0,2,6,0,1,FALSE,2,"Contemporary/Modern, Other Style, Traditional",270645,3,Medical Center South,4,4,2/2/2021,HOUSTON ISD,LAW ELEMENTARY,WORTHING HIGH SCHOOL
2707648,1124,Hammock Street,,Houston,77009,Harris,Hammock,Single-Family,1930,2,2,2,2.2,2,0,1,FALSE,0,Traditional,379900,9,Northside,16,16,1/21/2021,HOUSTON ISD,KETELSEN ELEMENTARY,NORTHSIDE HIGH SCHOOL
2743430,4415,Grass Valley Street,,Houston,77018,Harris,Candlelight Estates Sec 01,Single-Family,1960,3,2,0,2,6,0,1,FALSE,2,"Ranch, Traditional",379000,9,Oak Forest East Area,31,96,1/6/2021,HOUSTON ISD,STEVENS ELEMENTARY,SCARBOROUGH HIGH SCHOOL
2823691,5806,Post Oak Lane,,Houston,77055,Harris,Uptown North,Single-Family,2021,3,3,1,3.1,6,0,3,FALSE,2,"Contemporary/Modern, Traditional",379990,24,Spring Branch,23,73,1/14/2021,HOUSTON ISD,SINCLAIR ELEMENTARY,WALTRIP HIGH SCHOOL
2837464,5735,Heron Drive,,Houston,77033,Harris,Edgewood Terrace Sec 02,Single-Family,1961,3,1,1,1.1,10,0,1,FALSE,0,Traditional,139990,3,Medical Center South,4,4,2/2/2021,HOUSTON ISD,MADING ELEMENTARY,STERLING HIGH SCHOOL
2853980,12443,Briar Forest Drive,,Houston,77077,Harris,Ashford Forest Sec 04,Single-Family,1971,4,2,0,2,9,1,1,FALSE,2,Traditional,315990,31,Energy Corridor,83,83,11/15/2020,HOUSTON ISD,ASHFORD ELEMENTARY,WESTSIDE HIGH SCHOOL
2866520,6306,Conley Street,,Houston,77021,Harris,Belmont Sec 02,Single-Family,1938,2,1,0,1,5,0,1,FALSE,0,Traditional,135000,4,University Area,2,2,2/4/2021,HOUSTON ISD,PECK ELEMENTARY,YATES HIGH SCHOOL
2873391,902,Martin  Street,B,Houston,77018,Harris,Independence Heights,Single-Family,2020,3,3,1,3.1,11,0,3,FALSE,2,Contemporary/Modern,334990,9,Shepherd Park Plaza Area,84,84,10/14/2020,HOUSTON ISD,DURHAM ELEMENTARY,WALTRIP HIGH SCHOOL
2914096,1809,Dunlavy Street,,Houston,77006,Harris,Montrose,Single-Family,2020,3,2,1,2.1,9,0,2,FALSE,2,Traditional,569900,16,Montrose,79,79,11/19/2020,HOUSTON ISD,WILSON MONTESSORI,LAMAR HIGH SCHOOL
2927265,3905,Floyd ,,Houston,77007,Harris,Hartman,Single-Family,2014,4,3,1,3.1,10,1,3,FALSE,2,Contemporary/Modern,799000,16,Rice Military/Washington Corridor,25,25,1/12/2021,HOUSTON ISD,MEMORIAL ELEMENTARY,HEIGHTS HIGH SCHOOL
3021508,823,Nashua Street,,Houston,77008,Harris,Timbergrove Manor Sec 03,Single-Family,1951,3,3,0,3,3,0,1,FALSE,2,"Ranch, Traditional",745000,9,Timbergrove/Lazybrook,2,2,2/4/2021,HOUSTON ISD,LOVE ELEMENTARY,WALTRIP HIGH SCHOOL
3027961,2411,Tuam Street,,Houston,77004,Harris,Holman Outlot 14,Single-Family,1930,0,1,0,1,0,0,1,FALSE,0,Traditional,259000,4,University Area,54,54,12/14/2020,HOUSTON ISD,BLACKSHEAR ELEMENTARY,YATES HIGH SCHOOL
3074089,5819,Post Oak Lane,,Houston,77055,Harris,Uptown North,Single-Family,2021,3,3,1,3.1,6,0,3,FALSE,2,"Contemporary/Modern, Traditional",379990,24,Spring Branch,23,72,1/14/2021,HOUSTON ISD,SINCLAIR ELEMENTARY,WALTRIP HIGH SCHOOL
3156606,9118,Mcavoy Drive,,Houston,77074,Harris,Braes Timbers,Single-Family,1958,3,2,0,2,6,0,1,FALSE,0,Traditional,284990,20,Brays Oaks,5,28,2/1/2021,HOUSTON ISD,MCNAMARA ELEMENTARY,SHARPSTOWN HIGH SCHOOL
3165079,805,Fisher Street,,Houston,77018,Harris,Oak Grove,Single-Family,1947,3,2,1,2.1,3,0,1,FALSE,1,Other Style,764000,9,Oak Forest East Area,29,29,1/8/2021,HOUSTON ISD,GARDEN OAKS MONTESSORI,WALTRIP HIGH SCHOOL
3175871,16230,16230 Jersey Dr,,Jersey Village,77040,Harris,Jersey Village,Single-Family,1972,4,2,0,2,7,1,1,FALSE,2,Ranch,229000,10,Jersey Village,1,1,2/5/2021,CYPRESS-FAIRBANKS ISD,POST ELEMENTARY,JERSEY VILLAGE HIGH SCHOOL
3188997,1919,Elmen Street,,Houston,77019,Harris,Hyde Park Main,Single-Family,2017,3,3,1,3.1,14,1,2,FALSE,2,"Contemporary/Modern, Traditional",1549000,16,River Oaks Shopping Area,95,95,10/23/2020,HOUSTON ISD,WILSON MONTESSORI,LAMAR HIGH SCHOOL
3230944,1612,Ruthven Unit A,,Houston,77019,Harris,Baker W R Ssbb,Single-Family,2019,3,3,1,3.1,8,0,3,FALSE,1,Traditional,559900,16,Midtown - Houston,195,403,7/26/2020,HOUSTON ISD,GREGORY-LINCOLN ED CTR,HEIGHTS HIGH SCHOOL
3235605,2806,Grand Fountains  Drive,B,Houston,77054,Harris,Medical Center,Single-Family,2021,3,3,1,3.1,12,0,3,FALSE,2,Other Style,384990,18,Medical Center Area,10,10,1/27/2021,HOUSTON ISD,SHEARN ELEMENTARY,MADISON HIGH SCHOOL
3308084,5034,Yarwell Drive,,Houston,77096,Harris,Meyerland Sec 08 R/P A,Single-Family,1959,3,2,0,2,3,1,1,TRUE,1,Ranch,384900,20,Meyerland Area,229,229,6/22/2020,HOUSTON ISD,KOLTER ELEMENTARY,BELLAIRE HIGH SCHOOL
3329659,4202,Eigel Street,,Houston,77007,Harris,Koehlers 1st Add Pt Rep 3,Single-Family,2016,3,3,1,3.1,7,1,4,FALSE,2,"Contemporary/Modern, Traditional",699900,16,Rice Military/Washington Corridor,12,414,1/25/2021,HOUSTON ISD,MEMORIAL ELEMENTARY,HEIGHTS HIGH SCHOOL
3342564,1710,Northwood Street,,Houston,77009,Harris,Park at Northwood,Single-Family,2021,3,3,1,3.1,12,0,2,FALSE,2,"Contemporary/Modern, Other Style",441700,9,Heights/Greater Heights,60,205,12/8/2020,HOUSTON ISD,JEFFERSON ELEMENTARY,HEIGHTS HIGH SCHOOL
3427718,4412,Santorini Lane,,Houston,77045,Harris,Agua Estates,Single-Family,2021,3,2,1,2.1,6,0,2,FALSE,2,Traditional,267992,18,Five Corners,25,25,1/12/2021,HOUSTON ISD,HOBBY ELEMENTARY,MADISON HIGH SCHOOL
3465776,406,Oriole,,Houston,77018,Harris,Oriole Place,Single-Family,1920,3,1,0,1,3,0,1,FALSE,1,Other Style,279995,9,Northwest Houston,50,50,12/18/2020,HOUSTON ISD,KENNEDY ELEMENTARY,WASHINGTON B T HIGH SCHOOL
3483628,2615,Stoney Brook,,Houston,77063,Harris,Briarbend Sec 01,Single-Family,1956,3,2,0,2,8,0,1,TRUE,1,Traditional,529000,22,Charnwood/Briarbend,149,149,9/10/2020,HOUSTON ISD,BRIARGROVE ELEMENTARY,WISDOM HIGH SCHOOL
3498325,1205,W Tidwell Road,,Houston,77091,Harris,Tidwell Grove,Single-Family,2021,3,2,1,2.1,5,0,2,FALSE,2,Traditional,264900,9,Shepherd Park Plaza Area,23,23,1/14/2021,HOUSTON ISD,HIGHLAND HTS ELEMENTARY,WASHINGTON B T HIGH SCHOOL
3515388,3703,Purdue Street,,Houston,77005,Harris,Sunset Terrace Sec 11,Single-Family,2015,4,4,1,4.1,17,2,2,TRUE,2,Traditional,2279000,17,West University/Southside Area,21,21,1/16/2021,HOUSTON ISD,WEST UNIVERSITY ELEMENTARY,LAMAR HIGH SCHOOL
3518125,7130,Baumann Road,,Houston,77022,Harris,Lopez Estates,Single-Family,1952,6,3,2,3.2,11,1,1,FALSE,0,Traditional,369000,9,Northwest Houston,137,298,9/22/2020,HOUSTON ISD,HERRERA ELEMENTARY,HOUSTON MATH SCIENCE AND TECHNOLOG
3541490,12359,Westella Drive,,Houston,77077,Harris,Ashford South Sec 02,Single-Family,1971,4,2,0,2,4,1,2,FALSE,2,Traditional,276000,31,Energy Corridor,3,3,2/3/2021,HOUSTON ISD,ASHFORD ELEMENTARY,WESTSIDE HIGH SCHOOL
3554395,6106,Foster Street,,Houston,77021,Harris,Rossonian Court,Single-Family,2002,4,2,1,2.1,4,0,2,FALSE,0,Contemporary/Modern,250000,4,University Area,1,1,2/5/2021,HOUSTON ISD,PECK ELEMENTARY,YATES HIGH SCHOOL
3582323,933,15th 1/2 Street,,Houston,77008,Harris,Shady Acres Annex,Single-Family,1950,3,2,0,2,7,0,1,FALSE,2,Traditional,399000,9,Heights/Greater Heights,25,136,1/12/2021,HOUSTON ISD,LOVE ELEMENTARY,WALTRIP HIGH SCHOOL
3589297,8500,Wateka Drive,,Houston,77074,Harris,Braeburn Acres,Single-Family,1968,6,5,1,5.1,20,0,2,FALSE,0,"Contemporary/Modern, Ranch",875000,21,Sharpstown Area,55,55,8/24/2020,HOUSTON ISD,BONHAM ELEMENTARY,SHARPSTOWN HIGH SCHOOL
3631477,2432,Cochran,,Houston,77009,Harris,Cochran Estates,Single-Family,2018,3,2,1,2.1,5,0,2,FALSE,2,Traditional,345000,9,Northside,45,45,12/23/2020,HOUSTON ISD,MARTINEZ C ELEMENTARY,NORTHSIDE HIGH SCHOOL
3633651,1326,Vistawood Drive,,Houston,77077,Harris,Lakeside Place,Single-Family,2016,4,4,1,4.1,13,1,2,FALSE,2,Traditional,879900,31,Energy Corridor,134,234,9/25/2020,HOUSTON ISD,ASKEW ELEMENTARY,WESTSIDE HIGH SCHOOL
3643027,4818,Spruce Street,,Bellaire,77401,Harris,Bellaire,Single-Family,1984,3,2,1,2.1,8,1,2,FALSE,2,Traditional,785000,17,Bellaire Area,108,108,10/21/2020,HOUSTON ISD,CONDIT ELEMENTARY,BELLAIRE HIGH SCHOOL
3654933,1834,Main Street,,Houston,77098,Harris,Montrose,Single-Family,2019,4,3,1,3.1,10,1,4,FALSE,2,Contemporary/Modern,750000,16,Montrose,195,418,7/23/2020,HOUSTON ISD,POE ELEMENTARY,LAMAR HIGH SCHOOL
3724611,5906,Winsome  Lane,B,Houston,77057,Harris,Westheimer Gardens Ext,Single-Family,1985,2,2,1,2.1,7,1,2,FALSE,2,Traditional,289060,22,Galleria,62,328,10/30/2020,HOUSTON ISD,BRIARGROVE ELEMENTARY,WISDOM HIGH SCHOOL
3742892,121,18th Street,,Houston,77008,Harris,Houston Heights,Single-Family,1920,2,3,0,3,6,0,1,TRUE,2,Traditional,1279000,9,Heights/Greater Heights,99,99,10/30/2020,HOUSTON ISD,FIELD ELEMENTARY,HEIGHTS HIGH SCHOOL
3782136,9719,Atwell Drive,,Houston,77096,Harris,Marilyn Estates Sec 10,Single-Family,1968,5,4,0,4,12,1,1,TRUE,2,Traditional,350000,20,Meyerland Area,32,32,1/5/2021,HOUSTON ISD,KOLTER ELEMENTARY,WESTBURY HIGH SCHOOL
3798854,4607,Fisk Street,,Houston,77009,Harris,,Single-Family,1940,2,1,0,1,3,0,1,FALSE,0,Traditional,399000,9,Northside,44,600,12/24/2020,HOUSTON ISD,JEFFERSON ELEMENTARY,NORTHSIDE HIGH SCHOOL
3834876,5129,Longmont Drive,,Houston,77056,Harris,Tanglewood,Single-Family,2001,5,5,2,5.2,19,2,2,TRUE,3,Traditional,2299000,22,Tanglewood Area,187,187,8/3/2020,HOUSTON ISD,BRIARGROVE ELEMENTARY,WISDOM HIGH SCHOOL
3869729,4521,Wedgewood Drive,,Bellaire,77401,Harris,Russell Place,Single-Family,1953,3,2,0,2,3,0,1,FALSE,2,"Ranch, Traditional",519500,17,Bellaire Area,124,124,10/5/2020,HOUSTON ISD,HORN ELEMENTARY,BELLAIRE HIGH SCHOOL
3872865,4519,Graustark Street,,Houston,77006,Harris,Graustark Villas,Single-Family,2020,3,3,1,3.1,14,0,4,FALSE,2,Contemporary/Modern,609900,16,Montrose,45,233,12/23/2020,HOUSTON ISD,POE ELEMENTARY,LAMAR HIGH SCHOOL
3886379,8411,HEMPSTEAD  ,G,Houston,77008,Harris,MAYFAIR AT HEMPSTEAD,Single-Family,2020,3,3,1,3.1,5,0,3,FALSE,2,Contemporary/Modern,425000,9,Timbergrove/Lazybrook,141,179,9/14/2020,HOUSTON ISD,SINCLAIR ELEMENTARY,WALTRIP HIGH SCHOOL
4019514,3406,Avondale View Drive,,Houston,77025,Harris,Avondale on Main Street,Single-Family,2020,4,3,1,3.1,9,0,3,FALSE,2,Traditional,429580,18,Medical Center Area,66,66,12/2/2020,HOUSTON ISD,SHEARN ELEMENTARY,MADISON HIGH SCHOOL
4065125,1241,Omar Street,,Houston,77008,Harris,Stude Sec 02,Single-Family,2008,4,3,1,3.1,13,1,2,TRUE,5,Other Style,1695900,9,Heights/Greater Heights,116,225,10/13/2020,HOUSTON ISD,HARVARD ELEMENTARY,HEIGHTS HIGH SCHOOL
4090512,4020,Woodshire Village Estates,,Houston,77025,Harris,Woodshire Village Estates,Single-Family,2020,3,3,1,3.1,7,1,3,FALSE,2,"Contemporary/Modern, Other Style, Split Level, Traditional, Victorian",499900,17,Knollwood/Woodside Area,45,521,12/19/2020,HOUSTON ISD,LONGFELLOW ELEMENTARY,BELLAIRE HIGH SCHOOL
4117192,22,Bash Place,,Houston,77027,Harris,West Lane Place Sec 03,Single-Family,1951,3,1,0,1,5,0,1,FALSE,1,Traditional,579900,16,Highland Village/Midlane,25,167,1/12/2021,HOUSTON ISD,GREGORY-LINCOLN ED CTR,LAMAR HIGH SCHOOL
4125589,3510,Harvest Dance Drive,,Houston,77008,Harris,Timbergrove Trails,Single-Family,2020,3,3,0,3,6,0,2,FALSE,2,Traditional,485100,9,Timbergrove/Lazybrook,176,176,8/14/2020,HOUSTON ISD,SINCLAIR ELEMENTARY,WALTRIP HIGH SCHOOL
4139792,833,Little York Road,,Houston,77091,Harris,Green Meadows,Single-Family,1950,2,1,0,1,2,0,1,FALSE,1,Traditional,148500,9,Northwest Houston,34,34,1/3/2021,HOUSTON ISD,WESLEY ELEMENTARY,WASHINGTON B T HIGH SCHOOL
4244305,856,Dunleigh Meadows Lane,,Houston,77055,Harris,Somerset Green,Single-Family,2016,3,3,1,3.1,9,0,4,FALSE,3,Traditional,749000,9,Timbergrove/Lazybrook,77,712,11/21/2020,HOUSTON ISD,SINCLAIR ELEMENTARY,WALTRIP HIGH SCHOOL
4356653,7627,Braesglen Drive,,Houston,77071,Harris,Maplewood West R/P,Single-Family,1971,4,2,1,2.1,10,1,1,TRUE,1,Traditional,285000,20,Brays Oaks,199,199,6/27/2020,HOUSTON ISD,MILNE ELEMENTARY,SHARPSTOWN HIGH SCHOOL
4385377,637,16th Street,,Houston,77008,Harris,Houston Heights,Single-Family,2005,3,2,1,2.1,9,1,2,FALSE,2,Traditional,815000,9,Heights/Greater Heights,29,29,1/8/2021,HOUSTON ISD,HELMS ELEMENTARY,HEIGHTS HIGH SCHOOL
4448315,7207,England,,Houston,77021,Harris,Foster Place Ext Sec 03,Single-Family,2021,4,2,1,2.1,4,0,1,FALSE,0,Ranch,349000,4,University Area,51,51,12/17/2020,HOUSTON ISD,FOSTER ELEMENTARY,YATES HIGH SCHOOL
4449267,5443,Sugar Hill Drive,,Houston,77056,Harris,Tanglewood,Single-Family,2005,5,7,1,7.1,13,1,3,TRUE,4,Traditional,2999000,22,Tanglewood Area,340,340,3/3/2020,HOUSTON ISD,BRIARGROVE ELEMENTARY,WISDOM HIGH SCHOOL
4453610,1836,Main Street,,Houston,77098,Harris,Montrose,Single-Family,2019,4,3,1,3.1,10,1,4,FALSE,2,Contemporary/Modern,759000,16,Montrose,195,418,7/23/2020,HOUSTON ISD,POE ELEMENTARY,LAMAR HIGH SCHOOL
4484698,5507,Willowbend Boulevard,,Houston,77096,Harris,Westbury Sec 02,Single-Family,1956,3,2,0,2,9,0,1,FALSE,2,Contemporary/Modern,329900,20,Brays Oaks,250,250,6/1/2020,HOUSTON ISD,PARKER ELEMENTARY,WESTBURY HIGH SCHOOL
4548910,4942,Wigton Drive,,Houston,77096,Harris,Meyerland,Single-Family,1960,4,2,0,2,11,0,1,FALSE,2,"Ranch, Traditional",349900,20,Meyerland Area,161,161,8/21/2020,HOUSTON ISD,KOLTER ELEMENTARY,BELLAIRE HIGH SCHOOL
