mls,school,campus_number
96493235,BRIARGROVE EL,101912116
96493235,BRIARGROVE EL,101912116
97387930,BRIARGROVE EL,101912116
97492260,BRIARGROVE EL,101912116
97900654,BRIARGROVE EL,101912116
98502954,BRIARGROVE EL,101912116
98652314,BRIARGROVE EL,101912116
468622,HIGHLAND HTS EL,101912174
3498325,HIGHLAND HTS EL,101912174
7870166,HIGHLAND HTS EL,101912174
8438080,HIGHLAND HTS EL,101912174
8438080,HIGHLAND HTS EL,101912174
10131915,HIGHLAND HTS EL,101912174
11835422,HIGHLAND HTS EL,101912174
12978269,HIGHLAND HTS EL,101912174
15459024,HIGHLAND HTS EL,101912174
20609299,HIGHLAND HTS EL,101912174
20609299,HIGHLAND HTS EL,101912174
23797675,HIGHLAND HTS EL,101912174
25929121,HIGHLAND HTS EL,101912174
27986762,HIGHLAND HTS EL,101912174
28892832,HIGHLAND HTS EL,101912174
28892832,HIGHLAND HTS EL,101912174
28892832,HIGHLAND HTS EL,101912174
29753226,HIGHLAND HTS EL,101912174
29753226,HIGHLAND HTS EL,101912174
30660702,HIGHLAND HTS EL,101912174
32956377,HIGHLAND HTS EL,101912174
34830405,HIGHLAND HTS EL,101912174
37746697,HIGHLAND HTS EL,101912174
37762379,HIGHLAND HTS EL,101912174
39325433,HIGHLAND HTS EL,101912174
40097444,HIGHLAND HTS EL,101912174
45307275,HIGHLAND HTS EL,101912174
45710231,HIGHLAND HTS EL,101912174
46017485,HIGHLAND HTS EL,101912174
48613451,HIGHLAND HTS EL,101912174
49770860,HIGHLAND HTS EL,101912174
56450073,HIGHLAND HTS EL,101912174
56450073,HIGHLAND HTS EL,101912174
56450073,HIGHLAND HTS EL,101912174
56450073,HIGHLAND HTS EL,101912174
56450073,HIGHLAND HTS EL,101912174
56450073,HIGHLAND HTS EL,101912174
56958575,HIGHLAND HTS EL,101912174
62473493,HIGHLAND HTS EL,101912174
62989815,HIGHLAND HTS EL,101912174
64258469,HIGHLAND HTS EL,101912174
64258469,HIGHLAND HTS EL,101912174
64258469,HIGHLAND HTS EL,101912174
64258469,HIGHLAND HTS EL,101912174
64258469,HIGHLAND HTS EL,101912174
64258469,HIGHLAND HTS EL,101912174
67122861,HIGHLAND HTS EL,101912174
67122861,HIGHLAND HTS EL,101912174
67122861,HIGHLAND HTS EL,101912174
67153161,HIGHLAND HTS EL,101912174
67153161,HIGHLAND HTS EL,101912174
67153161,HIGHLAND HTS EL,101912174
67153161,HIGHLAND HTS EL,101912174
67153161,HIGHLAND HTS EL,101912174
67153161,HIGHLAND HTS EL,101912174
68711278,HIGHLAND HTS EL,101912174
69545338,HIGHLAND HTS EL,101912174
71054944,HIGHLAND HTS EL,101912174
74218334,HIGHLAND HTS EL,101912174
75976273,HIGHLAND HTS EL,101912174
79713891,HIGHLAND HTS EL,101912174
87992377,HIGHLAND HTS EL,101912174
87992377,HIGHLAND HTS EL,101912174
87992377,HIGHLAND HTS EL,101912174
87992377,HIGHLAND HTS EL,101912174
87992377,HIGHLAND HTS EL,101912174
87992377,HIGHLAND HTS EL,101912174
88112785,HIGHLAND HTS EL,101912174
88112785,HIGHLAND HTS EL,101912174
88112785,HIGHLAND HTS EL,101912174
88112785,HIGHLAND HTS EL,101912174
88112785,HIGHLAND HTS EL,101912174
88112785,HIGHLAND HTS EL,101912174
90763893,HIGHLAND HTS EL,101912174
90763893,HIGHLAND HTS EL,101912174
90763893,HIGHLAND HTS EL,101912174
92379201,HIGHLAND HTS EL,101912174
92576441,HIGHLAND HTS EL,101912174
94706192,HIGHLAND HTS EL,101912174
94706192,HIGHLAND HTS EL,101912174
95779472,HIGHLAND HTS EL,101912174
95779472,HIGHLAND HTS EL,101912174
95779472,HIGHLAND HTS EL,101912174
95779472,HIGHLAND HTS EL,101912174
95779472,HIGHLAND HTS EL,101912174
95779472,HIGHLAND HTS EL,101912174
98266835,HIGHLAND HTS EL,101912174
531033,SHADOWBRIAR EL,101912276
13235662,SHADOWBRIAR EL,101912276
23453730,SHADOWBRIAR EL,101912276
40428140,SHADOWBRIAR EL,101912276
40862968,SHADOWBRIAR EL,101912276
52716445,SHADOWBRIAR EL,101912276
53391515,SHADOWBRIAR EL,101912276
53730075,SHADOWBRIAR EL,101912276
65891140,SHADOWBRIAR EL,101912276
69872110,SHADOWBRIAR EL,101912276
74192858,SHADOWBRIAR EL,101912276
74622672,SHADOWBRIAR EL,101912276
85516889,SHADOWBRIAR EL,101912276
85762311,SHADOWBRIAR EL,101912276
90107693,SHADOWBRIAR EL,101912276
91400056,SHADOWBRIAR EL,101912276
94395829,SHADOWBRIAR EL,101912276
754009,BROWNING EL,101912120
1036880,BROWNING EL,101912120
14073990,BROWNING EL,101912120
18436637,BROWNING EL,101912120
20660511,BROWNING EL,101912120
21585737,BROWNING EL,101912120
30800567,BROWNING EL,101912120
35500408,BROWNING EL,101912120
36847237,BROWNING EL,101912120
38282234,BROWNING EL,101912120
43460441,BROWNING EL,101912120
44314266,BROWNING EL,101912120
44314266,BROWNING EL,101912120
55205588,BROWNING EL,101912120
63040814,BROWNING EL,101912120
64015249,BROWNING EL,101912120
72030695,BROWNING EL,101912120
72419341,BROWNING EL,101912120
76572895,BROWNING EL,101912120
76928521,BROWNING EL,101912120
78213971,BROWNING EL,101912120
81064174,BROWNING EL,101912120
83139865,BROWNING EL,101912120
83768094,BROWNING EL,101912120
83768094,BROWNING EL,101912120
90524755,BROWNING EL,101912120
90780937,BROWNING EL,101912120
845387,HERRERA EL,101912286
12561983,HERRERA EL,101912286
23586363,HERRERA EL,101912286
48074284,HERRERA EL,101912286
53392561,HERRERA EL,101912286
56091796,HERRERA EL,101912286
849724,ELROD EL,101912148
24166348,ELROD EL,101912148
30278277,ELROD EL,101912148
31120947,ELROD EL,101912148
41582695,ELROD EL,101912148
42307891,ELROD EL,101912148
43265738,ELROD EL,101912148
48032029,ELROD EL,101912148
49127875,ELROD EL,101912148
57496115,ELROD EL,101912148
60754684,ELROD EL,101912148
70624757,ELROD EL,101912148
71290090,ELROD EL,101912148
72608691,ELROD EL,101912148
76440135,ELROD EL,101912148
77083962,ELROD EL,101912148
80634706,ELROD EL,101912148
81326655,ELROD EL,101912148
82443268,ELROD EL,101912148
85958719,ELROD EL,101912148
93243759,ELROD EL,101912148
93645586,ELROD EL,101912148
875166,LOCKHART EL,101912195
1016386,LOCKHART EL,101912195
2659908,LOCKHART EL,101912195
15578739,LOCKHART EL,101912195
16932057,LOCKHART EL,101912195
17056955,LOCKHART EL,101912195
19937617,LOCKHART EL,101912195
26295902,LOCKHART EL,101912195
27301988,LOCKHART EL,101912195
28355431,LOCKHART EL,101912195
28576521,LOCKHART EL,101912195
33676698,LOCKHART EL,101912195
49896522,LOCKHART EL,101912195
55670317,LOCKHART EL,101912195
79346345,LOCKHART EL,101912195
81956017,LOCKHART EL,101912195
87580978,LOCKHART EL,101912195
95177102,LOCKHART EL,101912195
899952,FROST EL,101912156
11339827,FROST EL,101912156
11768087,FROST EL,101912156
15551712,FROST EL,101912156
23626901,FROST EL,101912156
47994710,FROST EL,101912156
51311424,FROST EL,101912156
52751753,FROST EL,101912156
67942679,FROST EL,101912156
97135753,FROST EL,101912156
919728,WILSON MONTESSORI,101912259
2561808,WILSON MONTESSORI,101912259
2571718,WILSON MONTESSORI,101912259
2571718,WILSON MONTESSORI,101912259
2914096,WILSON MONTESSORI,101912259
3188997,WILSON MONTESSORI,101912259
4696265,WILSON MONTESSORI,101912259
6675750,WILSON MONTESSORI,101912259
6905334,WILSON MONTESSORI,101912259
8197773,WILSON MONTESSORI,101912259
8346129,WILSON MONTESSORI,101912259
8598669,WILSON MONTESSORI,101912259
8770519,WILSON MONTESSORI,101912259
9762408,WILSON MONTESSORI,101912259
11536996,WILSON MONTESSORI,101912259
13544466,WILSON MONTESSORI,101912259
16242745,WILSON MONTESSORI,101912259
