mls,campus_number
10148749,101912192
10148749,101912001
10163892,101912220
10163892,101912004
10176211,101912204
10176211,101912015
10179756,101912124
10179756,101912018
10203907,101912241
10203907,101912015
10209212,101912008
10209212,101912255
10231427,101912008
10231427,101912221
10236460,101912108
10236460,101912019
10296454,101912178
10296454,101912002
10303061,101912204
10303061,101912012
10307658,101912008
10307658,101912221
10325144,101912020
10325144,101912243
10363094,101912019
10363094,101912225
10366439,101912124
10366439,101912124
10366439,101912001
10366439,101912001
10366439,101912001
10366439,101912124
10368990,101912015
10368990,101912015
10368990,101912015
10368990,101912241
10368990,101912241
10368990,101912241
10392394,101912012
10392394,101912135
10402150,101912001
10402150,101912124
10439739,101912219
10439739,101912009
10458434,101912017
10458434,101912215
10478461,101912008
10478461,101912228
10514475,101912247
10514475,101912019
10518583,101912017
10518583,101912215
10519978,101912256
10519978,101912008
10536297,101912240
10536297,101912003
10542236,101912396
10542236,101912036
10547038,101912012
10547038,101912170
10555804,101912110
10555804,101912020
10564878,101912154
10564878,101912020
10572967,101912019
10572967,101912225
10582796,101912228
10582796,101912008
10608251,101912192
10608251,101912001
10691141,101912121
10691141,101912018
10750365,101912018
10750365,101912298
10767554,101912014
10767554,101912158
10772603,101912019
10772603,101912108
10784624,101912198
10784624,101912012
10811451,101912182
10811451,101912012
10821833,101912275
10821833,101912036
10837770,101912008
10837770,101912228
10841505,101912020
10841505,101912243
10846313,101912001
10846313,101912287
10848594,101912009
10848594,101912116
10864519,101912110
10864519,101912020
10876801,101912023
10876801,101912248
10883915,101912221
10883915,101912008
10903051,101912018
10903051,101912180
10951418,101912241
10951418,101912015
10977747,101912173
10977747,101912002
10983275,101912020
10983275,101912257
10991200,101912015
10991200,101912204
10992816,101912009
10992816,101912116
11013067,101912245
11013067,101912015
11098881,101912002
11098881,101912130
11134596,101912002
11134596,101912130
11146956,101912221
11146956,101912008
11301473,101912008
11301473,101912256
11311267,101912012
11311267,101912198
11339827,101912014
11339827,101912156
11350094,101912213
11350094,101912016
11356792,101912008
11356792,101912229
11384759,101912155
11384759,101912001
11406250,101912023
11406250,101912285
11447382,101912257
11447382,101912020
11462213,101912020
11462213,101912110
11506719,101912111
11506719,101912023
11536996,101912008
11536996,101912259
11549404,101912002
11549404,101912196
11561817,101912012
11561817,101912135
11579455,101912009
