mls,street_number,street_name,city,zip,county,subdivision,home_type,year_built,bedrooms,full_baths,half_baths,total_baths,room_count,fireplaces,stories,pool_private,garages,style,list_price,market_area,area,dom,cdom,list_date,school_district,elementary,high_school
49490691,3704,Engelke,Houston,77003,Harris,Merkels Sec 01,Single-Family,1919,2,1,0,1.0,2,0,1,False,0,Traditional,535000,4,East End Revitalized,32,32,1/5/2021,HOUSTON ISD,BURNET EL,AUSTIN H S
10402150,4002,Rotman,Houston,77003,Harris,s m williams,Single-Family,1930,2,1,0,1.0,3,0,1,False,0,Traditional,192244,4,East End Revitalized,61,61,11/22/2020,HOUSTON ISD,BURNET EL,AUSTIN H S
60135546,4715,Brady,Houston,77011,Harris,Oak Lawn,Single-Family,1938,3,2,0,2.0,6,0,1,False,0,Traditional,350000,4,East End Revitalized,5,113,2/1/2021,HOUSTON ISD,BURNET EL,AUSTIN H S
26095848,4802,Sherman,Houston,77011,Harris,Oak Lawn,Single-Family,1936,3,2,0,2.0,4,1,1,False,1,Traditional,325000,4,East End Revitalized,186,186,8/4/2020,HOUSTON ISD,BURNET EL,AUSTIN H S
74731895,1306,Pearson,Houston,77023,Harris,Kirby W A,Single-Family,1935,3,2,0,2.0,4,0,1,False,0,Traditional,369000,4,East End Revitalized,17,122,1/20/2021,HOUSTON ISD,CAGE EL,AUSTIN H S
10846313,1310,Elliston,Houston,77023,Harris,Kirby W A,Single-Family,1935,4,2,0,2.0,9,0,1,False,0,Traditional,371000,4,East End Revitalized,59,77,12/9/2020,HOUSTON ISD,CAGE EL,AUSTIN H S
35296285,1429,Lawson,Houston,77023,Harris,Broadmoor,Single-Family,1939,3,2,0,2.0,9,0,1,False,0,Traditional,399900,4,East End Revitalized,73,73,11/25/2020,HOUSTON ISD,CAGE EL,AUSTIN H S
95100132,1626,Mable,Houston,77023,Harris,Kirby W A,Single-Family,1946,3,1,0,1.0,3,0,1,False,0,Traditional,325000,4,East End Revitalized,129,129,9/30/2020,HOUSTON ISD,CAGE EL,AUSTIN H S
94762165,1851,Lombardy,Houston,77023,Harris,Broadmoor,Single-Family,1935,3,2,0,2.0,3,0,1,False,0,Traditional,289900,4,East End Revitalized,100,100,10/29/2020,HOUSTON ISD,CAGE EL,AUSTIN H S
78664465,4309,Coyle,Houston,77023,Harris,Eastwood,Single-Family,1935,2,1,0,1.0,4,0,1,False,2,Traditional,299000,4,East End Revitalized,4,4,2/2/2021,HOUSTON ISD,CAGE EL,AUSTIN H S
45638369,4606,Park,Houston,77023,Harris,Eastwood,Single-Family,1940,3,2,0,2.0,3,1,1,False,0,Traditional,440000,4,East End Revitalized,317,317,3/26/2020,HOUSTON ISD,CAGE EL,AUSTIN H S
17327175,4729,Pease,Houston,77023,Harris,Lawnview,Single-Family,1940,3,2,0,2.0,7,0,1,False,0,Contemporary/Modern,399000,4,East End Revitalized,154,298,8/31/2020,HOUSTON ISD,CAGE EL,AUSTIN H S
72988216,4808,Oakland,Houston,77023,Harris,Muller,Single-Family,1920,2,1,0,1.0,6,1,1,False,0,Traditional,319900,4,East End Revitalized,154,154,9/5/2020,HOUSTON ISD,CAGE EL,AUSTIN H S
8302616,4906,McKinney,Houston,77023,Harris,Georgia,Single-Family,2020,3,2,1,2.1,3,0,2,False,2,"Other Style, Traditional",359000,4,East End Revitalized,153,153,9/6/2020,HOUSTON ISD,CAGE EL,AUSTIN H S
33450007,4923,Rusk,Houston,77023,Harris,Ruskwood Estates,Single-Family,2017,3,2,0,2.0,7,0,1,False,0,Traditional,449000,4,East End Revitalized,2,2,2/4/2021,HOUSTON ISD,CAGE EL,AUSTIN H S
47108477,4934,McKinney,Houston,77023,Harris,Georgia,Single-Family,1925,3,2,0,2.0,7,1,1,False,0,Traditional,330000,4,East End Revitalized,180,180,8/10/2020,HOUSTON ISD,CAGE EL,AUSTIN H S
79922066,4947,Rusk,Houston,77023,Harris,Eastwood Green,Single-Family,2021,3,2,1,2.1,7,0,2,False,2,Other Style,475000,4,East End Revitalized,17,130,1/20/2021,HOUSTON ISD,CAGE EL,AUSTIN H S
18847614,4949,Rusk,Houston,77023,Harris,Eastwood,Single-Family,2021,3,3,1,3.1,7,0,2,False,2,Other Style,485000,4,East End Revitalized,30,30,1/7/2021,HOUSTON ISD,CAGE EL,AUSTIN H S
59330881,5107,Stonewall,Houston,77023,Harris,Jackson Court,Single-Family,1929,3,2,0,2.0,7,0,1,False,0,Traditional,260000,4,East End Revitalized,5,5,2/1/2021,HOUSTON ISD,CAGE EL,AUSTIN H S
12265589,5145,Stonewall,Houston,77023,Harris,Jackson Court,Single-Family,1940,3,2,0,2.0,6,1,1,False,1,"Ranch, Traditional",415000,4,East End Revitalized,9,9,1/28/2021,HOUSTON ISD,CAGE EL,AUSTIN H S
71233956,1006,Hackney,Houston,77023,Harris,Simms Woods,Single-Family,1952,3,3,0,3.0,3,1,1,False,2,"Other Style, Ranch, Traditional",349900,4,East End Revitalized,290,290,4/21/2020,HOUSTON ISD,CARRILLO EL,AUSTIN H S
6123855,1505,Henninger,Houston,77023,Harris,Dissen Heights,Single-Family,1965,3,2,0,2.0,8,1,1,False,2,Other Style,307500,4,East End Revitalized,35,164,1/2/2021,HOUSTON ISD,CARRILLO EL,AUSTIN H S
54669616,1831,La Magnolia,Houston,77023,Harris,Oaks of Lawndale,Single-Family,2021,2,2,1,2.1,4,0,2,False,2,Traditional,314995,4,East End Revitalized,23,23,1/14/2021,HOUSTON ISD,CARRILLO EL,AUSTIN H S
65571088,1835,La Magnolia,Houston,77023,Harris,Oaks of Lawndale,Single-Family,2021,3,2,1,2.1,3,0,2,False,2,Traditional,332995,4,East End Revitalized,23,23,1/14/2021,HOUSTON ISD,CARRILLO EL,AUSTIN H S
92503654,1903,La Magnolia,Houston,77023,Harris,Oaks of Lawndale,Single-Family,2021,3,2,1,2.1,5,0,2,False,2,Traditional,343995,4,East End Revitalized,23,23,1/14/2021,HOUSTON ISD,CARRILLO EL,AUSTIN H S
25898314,1907,La Magnolia,Houston,77023,Harris,Oaks of Lawndale,Single-Family,2021,3,2,1,2.1,3,0,2,False,2,Traditional,332115,4,East End Revitalized,11,11,1/26/2021,HOUSTON ISD,CARRILLO EL,AUSTIN H S
47217815,1915,La Magnolia,Houston,77023,Harris,Oaks of Lawndale,Single-Family,2021,3,2,1,2.1,3,0,2,False,2,Traditional,333885,4,East End Revitalized,11,11,1/26/2021,HOUSTON ISD,CARRILLO EL,AUSTIN H S
95907527,1919,La Magnolia,Houston,77023,Harris,Oaks of Lawndale,Single-Family,2021,3,2,1,2.1,5,0,2,False,2,Traditional,342995,4,East End Revitalized,11,11,1/26/2021,HOUSTON ISD,CARRILLO EL,AUSTIN H S
94574841,1927,La Magnolia,Houston,77023,Harris,Oaks of Lawndale,Single-Family,2021,3,2,1,2.1,5,0,2,False,2,Traditional,342995,4,East End Revitalized,9,9,1/28/2021,HOUSTON ISD,CARRILLO EL,AUSTIN H S
86641262,5110,Mulford,Houston,77023,Harris,Lawndale,Single-Family,1930,3,2,0,2.0,0,0,2,False,0,Colonial,339000,4,East End Revitalized,7,7,1/30/2021,HOUSTON ISD,CARRILLO EL,AUSTIN H S
68534191,5314,Leeland,Houston,77023,Harris,Dissen Heights,Single-Family,2017,2,2,0,2.0,5,0,1,False,0,"Contemporary/Modern, Other Style",330000,4,East End Revitalized,19,51,1/18/2021,HOUSTON ISD,CARRILLO EL,AUSTIN H S
63151018,5402,Holguin Hollow,Houston,77023,Harris,Oaks Of Lawndale,Single-Family,2020,4,3,1,3.1,7,0,3,False,2,Traditional,360000,4,East End Revitalized,51,228,12/17/2020,HOUSTON ISD,CARRILLO EL,AUSTIN H S
72988171,5406,Holguin Hollow,Houston,77023,Harris,Oaks Of Lawndale,Single-Family,2020,3,2,1,2.1,7,0,2,False,2,Traditional,315000,4,East End Revitalized,51,314,12/17/2020,HOUSTON ISD,CARRILLO EL,AUSTIN H S
36482360,5410,Holguin Hollow,Houston,77023,Harris,Oaks of Lawndale,Single-Family,2021,2,2,1,2.1,4,0,2,False,2,Traditional,305995,4,East End Revitalized,30,30,1/7/2021,HOUSTON ISD,CARRILLO EL,AUSTIN H S
91103772,5414,Holguin Hollow,Houston,77023,Harris,Oaks of Lawndale,Single-Family,2021,3,2,1,2.1,5,0,2,False,2,Contemporary/Modern,317995,4,East End Revitalized,30,30,1/7/2021,HOUSTON ISD,CARRILLO EL,AUSTIN H S
26781787,5422,Cuerta,Houston,77023,Harris,Oaks of Lawndale,Single-Family,2020,3,2,1,2.1,5,0,2,False,2,Contemporary/Modern,310995,4,East End Revitalized,165,165,8/25/2020,HOUSTON ISD,CARRILLO EL,AUSTIN H S
56296683,5426,Cuerta,Houston,77023,Harris,Oaks of Lawndale,Single-Family,2020,3,2,1,2.1,3,0,2,False,2,Traditional,323995,4,East End Revitalized,103,103,8/25/2020,HOUSTON ISD,CARRILLO EL,AUSTIN H S
75462442,5502,Cuerta,Houston,77023,Harris,Oaks of Lawndale,Single-Family,2020,2,2,1,2.1,4,0,2,False,2,Traditional,296995,4,East End Revitalized,142,142,9/17/2020,HOUSTON ISD,CARRILLO EL,AUSTIN H S
43390603,5507,Camaguey,Houston,77023,Harris,Oaks of Lawndale,Single-Family,2020,3,2,1,2.1,5,0,2,False,2,Contemporary/Modern,312995,4,East End Revitalized,80,80,11/18/2020,HOUSTON ISD,CARRILLO EL,AUSTIN H S
23892728,5510,Holguin Hollow,Houston,77023,Harris,Oaks of Lawndale,Single-Family,2021,2,2,1,2.1,4,0,2,False,2,Traditional,312995,4,East End Revitalized,46,46,12/22/2020,HOUSTON ISD,CARRILLO EL,AUSTIN H S
80509809,5514,Holguin Hollow,Houston,77023,Harris,Oaks of Lawndale,Single-Family,2021,3,2,1,2.1,5,0,2,False,2,Contemporary/Modern,317995,4,East End Revitalized,46,46,12/22/2020,HOUSTON ISD,CARRILLO EL,AUSTIN H S
17459147,5518,Holguin Hollow,Houston,77023,Harris,Oaks of Lawndale,Single-Family,2021,2,2,1,2.1,4,0,2,False,2,Traditional,307995,4,East End Revitalized,46,46,12/22/2020,HOUSTON ISD,CARRILLO EL,AUSTIN H S
12737629,5526,Holguin Hollow,Houston,77023,Harris,Oaks of Lawndale,Single-Family,2021,3,2,1,2.1,5,0,2,False,2,Contemporary/Modern,320995,4,East End Revitalized,46,46,12/22/2020,HOUSTON ISD,CARRILLO EL,AUSTIN H S
12020420,5601,Leeland,Houston,77023,Harris,Swope,Single-Family,1955,3,2,1,2.1,10,0,1,False,0,Ranch,495000,4,East End Revitalized,105,105,10/24/2020,HOUSTON ISD,CARRILLO EL,AUSTIN H S
19371028,6704,Harrisburg,Houston,77011,Harris,Magnolia Park,Single-Family,1948,2,0,4,0.4,4,0,1,False,0,"Contemporary/Modern, Other Style",1200000,4,East End Revitalized,126,126,10/3/2020,HOUSTON ISD,CARRILLO EL,AUSTIN H S
98389196,7310,Avenue I,Houston,77011,Harris,Magnolia Park Sec 02,Single-Family,1936,2,1,0,1.0,2,0,1,False,1,Traditional,170000,4,East End Revitalized,78,78,11/20/2020,HOUSTON ISD,DE ZAVALA EL,AUSTIN H S
69811323,1504,Hedrick,Houston,77011,Harris,Hendrick Estates,Single-Family,2021,2,2,1,2.1,5,0,2,False,0,"Contemporary/Modern, Other Style, Ranch, Traditional",259900,4,East End Revitalized,92,92,11/6/2020,HOUSTON ISD,FRANKLIN EL,AUSTIN H S
28236292,1508,Hedrick,Houston,77011,Harris,Hendrick Estates,Single-Family,2021,2,2,1,2.1,5,0,2,False,0,"Contemporary/Modern, Other Style, Ranch, Traditional",259900,4,East End Revitalized,92,92,11/6/2020,HOUSTON ISD,FRANKLIN EL,AUSTIN H S
22092907,1512,Hedrick,Houston,77011,Harris,Hendrick Estates,Single-Family,2021,2,2,1,2.1,5,0,2,False,0,"Contemporary/Modern, Other Style, Ranch, Traditional",259900,4,East End Revitalized,92,92,11/6/2020,HOUSTON ISD,FRANKLIN EL,AUSTIN H S
10204953,1516,Hedrick,Houston,77011,Harris,Hendrick Estates,Single-Family,2021,3,3,0,3.0,6,0,2,False,0,"Contemporary/Modern, Other Style, Ranch, Traditional",274900,4,East End Revitalized,60,60,12/8/2020,HOUSTON ISD,FRANKLIN EL,AUSTIN H S
65682201,1520,Hedrick,Houston,77011,Harris,Hendrick Estates,Single-Family,2021,3,3,0,3.0,6,0,2,False,0,"Contemporary/Modern, Other Style, Ranch, Traditional",274900,4,East End Revitalized,59,59,12/9/2020,HOUSTON ISD,FRANKLIN EL,AUSTIN H S
8544850,1605,Hedrick,Houston,77011,Harris,Magnolia Park,Single-Family,1930,3,1,0,1.0,3,0,1,False,1,Traditional,195000,4,East End Revitalized,18,18,1/19/2021,HOUSTON ISD,FRANKLIN EL,AUSTIN H S
92214244,6928,J W Peavy,Houston,77011,Harris,Central Park,Single-Family,1940,3,2,0,2.0,7,0,1,False,0,Traditional,258000,4,East End Revitalized,381,545,1/2/2020,HOUSTON ISD,FRANKLIN EL,AUSTIN H S
11384759,7104,Avenue N,Houston,77011,Harris,Magnolia Park Sec 02,Single-Family,1930,2,2,0,2.0,8,0,1,False,1,Traditional,185000,4,East End Revitalized,85,85,11/13/2020,HOUSTON ISD,FRANKLIN EL,AUSTIN H S
42768657,7136,Avenue J,Houston,77011,Harris,Magnolia Park Sec 02,Single-Family,1927,3,2,0,2.0,5,0,1,False,0,"Contemporary/Modern, Traditional",149999,4,East End Revitalized,61,61,12/7/2020,HOUSTON ISD,FRANKLIN EL,AUSTIN H S
94871183,7309,Avenue,Houston,77011,Harris,Magnolia Park Sec 02,Single-Family,1930,4,3,0,3.0,6,0,2,False,0,Other Style,229000,4,East End Revitalized,42,42,12/26/2020,HOUSTON ISD,GALLEGOS EL,AUSTIN H S
82012322,1818,Hatwell,Houston,77023,Harris,Sunnylan,Single-Family,1939,3,2,0,2.0,4,0,1,False,2,Traditional,327500,4,East End Revitalized,57,502,12/11/2020,HOUSTON ISD,HENDERSON J EL,AUSTIN H S
83422855,1915,Kolfahl,Houston,77023,Harris,Kolfahl Estates,Single-Family,2020,3,3,1,3.1,6,0,3,False,2,Contemporary/Modern,345000,4,East End Revitalized,79,79,11/19/2020,HOUSTON ISD,HENDERSON J EL,AUSTIN H S
43930637,1915,Kolfahl #B,Houston,77023,Harris,Kolfahl Estates,Single-Family,2020,3,3,1,3.1,6,0,3,False,2,Contemporary/Modern,339888,4,East End Revitalized,10,10,1/27/2021,HOUSTON ISD,HENDERSON J EL,AUSTIN H S
39696799,2324,Cumberland,Houston,77023,Harris,Riverview,Single-Family,2021,3,2,1,2.1,8,0,2,False,2,Traditional,319000,4,University Area,18,18,1/19/2021,HOUSTON ISD,HENDERSON J EL,AUSTIN H S
29956317,2511,Auburndale,Houston,77023,Harris,Riverview,Single-Family,1930,4,3,0,3.0,4,0,1,False,2,Traditional,420000,4,University Area,80,80,11/12/2020,HOUSTON ISD,HENDERSON J EL,AUSTIN H S
94071584,2612,Delafield,Houston,77023,Harris,Edmundson Sec 07,Single-Family,2020,4,2,1,2.1,11,0,2,False,2,Traditional,419990,4,University Area,65,65,12/3/2020,HOUSTON ISD,HENDERSON J EL,AUSTIN H S
44708217,5534,Hillman,Houston,77023,Harris,Plaza Place,Single-Family,1939,4,2,1,2.1,9,0,2,False,0,Traditional,221000,4,East End Revitalized,241,241,6/10/2020,HOUSTON ISD,HENDERSON N EL,AUSTIN H S
15809925,5626,Craig,Houston,77023,Harris,Sunnylan,Single-Family,1930,2,1,1,1.1,6,0,1,False,0,Traditional,277000,4,East End Revitalized,15,15,1/22/2021,HOUSTON ISD,HENDERSON N EL,AUSTIN H S
61342320,5635,Bonsrell,Houston,77023,Harris,Sunnylan,Single-Family,1940,2,1,0,1.0,2,0,1,False,0,Traditional,215000,4,East End Revitalized,20,20,1/17/2021,HOUSTON ISD,HENDERSON N EL,AUSTIN H S
74389810,5709,Craig,Houston,77023,Harris,Sunnylan,Single-Family,1940,2,1,0,1.0,7,0,2,False,0,Traditional,210000,4,East End Revitalized,26,26,1/11/2021,HOUSTON ISD,HENDERSON N EL,AUSTIN H S
15425931,6647,Lindy,Houston,77023,Harris,Idylwood,Single-Family,1946,3,2,0,2.0,7,1,2,False,2,Traditional,419000,4,East End Revitalized,17,17,1/20/2021,HOUSTON ISD,HENDERSON N EL,AUSTIN H S
9831345,6665,Sylvan,Houston,77023,Harris,Idylwood,Single-Family,2020,3,3,0,3.0,8,0,2,False,2,"Contemporary/Modern, Other Style, Traditional",679900,4,East End Revitalized,5,280,1/15/2021,HOUSTON ISD,HENDERSON N EL,AUSTIN H S
17583191,127,Sidney,Houston,77003,Harris,Blau Homestead,Single-Family,1940,4,3,0,3.0,7,0,1,False,1,Traditional,405000,4,East End Revitalized,3,88,2/3/2021,HOUSTON ISD,LANTRIP EL,AUSTIN H S
29817322,203,Milby,Houston,77003,Harris,Marbella Lndg,Single-Family,2018,3,3,1,3.1,5,1,3,False,2,Contemporary/Modern,360000,4,East End Revitalized,40,40,12/28/2020,HOUSTON ISD,LANTRIP EL,AUSTIN H S
48179783,219,Super St,Houston,77011,Harris,Oak Lawn,Single-Family,0,0,0,0,0.0,0,0,1,False,0,Traditional,220000,4,East End Revitalized,18,18,1/19/2021,HOUSTON ISD,LANTRIP EL,AUSTIN H S
4909411,1031,Roberts,Houston,77003,Harris,EADO,Single-Family,2020,3,3,1,3.1,5,0,3,False,2,"Contemporary/Modern, Other Style, Split Level",450000,4,East End Revitalized,10,166,1/27/2021,HOUSTON ISD,LANTRIP EL,AUSTIN H S
95575139,1417,Hussion,Houston,77003,Harris,Edmundson Sec 03,Single-Family,2006,3,1,1,1.1,6,0,1,False,0,Traditional,279900,4,East End Revitalized,145,196,9/14/2020,HOUSTON ISD,LANTRIP EL,AUSTIN H S
10148749,3220,Mckinney,Houston,77003,Harris,Mckinney Landing,Single-Family,2014,3,3,1,3.1,7,1,3,False,2,"French, Traditional",485000,4,East End Revitalized,66,66,12/2/2020,HOUSTON ISD,LANTRIP EL,AUSTIN H S
80601626,3515,Bell,Houston,77003,Harris,EaDo,Single-Family,2021,4,3,1,3.1,4,0,3,False,2,"Contemporary/Modern, Other Style",370000,4,East End Revitalized,24,24,1/13/2021,HOUSTON ISD,LANTRIP EL,AUSTIN H S
32906638,3802,Commerce,Houston,77003,Harris,First Urban Replat No. 1,Single-Family,2021,3,3,1,3.1,10,0,2,False,2,Contemporary/Modern,495000,4,East End Revitalized,5,5,2/1/2021,HOUSTON ISD,LANTRIP EL,AUSTIN H S
5326760,3804,Commerce,Houston,77003,Harris,First Urban Replat No. 1,Single-Family,2021,3,3,1,3.1,10,0,2,False,2,Contemporary/Modern,495000,4,East End Revitalized,5,5,2/1/2021,HOUSTON ISD,LANTRIP EL,AUSTIN H S
22406972,3805,Wilmer,Houston,77003,Harris,Brady Home,Single-Family,1905,8,3,0,3.0,12,4,2,False,0,"Mediterranean, Traditional",450000,4,East End Revitalized,83,83,11/13/2020,HOUSTON ISD,LANTRIP EL,AUSTIN H S
33382136,3806,Commerce,Houston,77003,Harris,First Urban Replat No. 1,Single-Family,2021,3,3,1,3.1,10,0,2,False,2,Contemporary/Modern,495000,4,East End Revitalized,74,74,11/24/2020,HOUSTON ISD,LANTRIP EL,AUSTIN H S
9522366,4006,University Grove,Houston,77023,Harris,University Grove,Single-Family,2021,3,3,1,3.1,6,0,3,False,2,Other Style,410000,4,East End Revitalized,15,76,1/22/2021,HOUSTON ISD,LANTRIP EL,AUSTIN H S
60812795,4007,University Grove,Houston,77023,Harris,University Grove,Single-Family,2021,3,3,1,3.1,6,0,3,False,2,Other Style,450000,4,East End Revitalized,15,119,1/22/2021,HOUSTON ISD,LANTRIP EL,AUSTIN H S
89565373,4212,Capitol,Houston,77023,Harris,Houston City St Rwy Sec 01,Single-Family,1939,2,1,0,1.0,4,0,1,False,0,Traditional,259000,4,East End Revitalized,3,3,2/3/2021,HOUSTON ISD,LANTRIP EL,AUSTIN H S
78250042,4508,Rusk,Houston,77023,Harris,Eastwood,Single-Family,1918,2,2,0,2.0,5,1,1,False,2,Other Style,394000,4,East End Revitalized,17,17,5/31/2020,HOUSTON ISD,LANTRIP EL,AUSTIN H S
20780265,4708,Mckinney,Houston,77023,Harris,Eastwood Add,Single-Family,1935,3,3,0,3.0,8,1,2,False,0,Traditional,719000,4,East End Revitalized,18,18,1/19/2021,HOUSTON ISD,LANTRIP EL,AUSTIN H S
10608251,4722,Walker,Houston,77023,Harris,Eastwood,Single-Family,1938,3,2,0,2.0,5,0,1,False,1,Traditional,325000,4,University Area,136,136,9/23/2020,HOUSTON ISD,LANTRIP EL,AUSTIN H S
29509511,2918,Lidstone,Houston,77023,Harris,Edmundson Sec 05,Single-Family,1950,2,1,0,1.0,2,0,1,False,0,Traditional,120000,4,University Area,25,25,1/12/2021,HOUSTON ISD,PECK EL,AUSTIN H S
15937626,5906,Canal #2,Houston,77011,Harris,Fullerton Place,Single-Family,1950,2,1,2,1.2,2,0,1,False,0,Traditional,525000,4,East End Revitalized,80,80,11/18/2020,HOUSTON ISD,TIJERINA EL,AUSTIN H S
41576471,6004,Canal,Houston,77011,Harris,Plaza Fullerton,Single-Family,2021,3,2,1,2.1,7,0,2,False,2,Other Style,324900,4,East End Revitalized,41,41,12/27/2020,HOUSTON ISD,TIJERINA EL,AUSTIN H S
30014595,6008,Canal,Houston,77011,Harris,Canal Project,Single-Family,2021,3,2,1,2.1,7,0,2,False,2,Other Style,324900,4,East End Revitalized,44,44,12/24/2020,HOUSTON ISD,TIJERINA EL,AUSTIN H S
31568715,6603,Avenue O,Houston,77011,Harris,Plaza At Avenue O,Single-Family,2021,3,2,1,2.1,7,0,2,False,2,Mediterranean,299900,4,East End Revitalized,57,57,12/11/2020,HOUSTON ISD,TIJERINA EL,AUSTIN H S
